settlement_id,settlement_name,census_code,latitude,longitude,coordinate_source,coordinate_confidence,matched_address,resolution_query,resolution_status
SETTLEMENT_40809,Khiron,40809,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_40811,Arurhi Paturi,40811,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_40813,Pandukaswar,40813,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_40814,Pulana Chak Bhyudar,40814,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_40815,Toli Laga Chiae,40815,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_40816,Chaien,40816,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_40818,Bharkichak-Urgam,40818,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_40819,Bheta Chak Urgam,40819,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_40820,Lyari Thana,40820,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_40821,Salna Chak Urgam,40821,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_40822,Hailang,40822,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_40823,Paini,40823,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_40824,Sailang,40824,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_40825,Gaunkh Laga Sailang,40825,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_40826,Auli Laga Joshimath,40826,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_40827,Auli Laga Salud Dugra,40827,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_40828,Salud Dugra,40828,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_40831,Uchougaur,40831,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_40833,Jakhola,40833,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_40835,Pokhani Urf Pokhari,40835,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_40839,Tapon,40839,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_40842,Tangni talli,40842,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_40843,Tangni malli,40843,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_40844,Jalgwar,40844,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_40846,Marwadi Chak Pakhi,40846,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_40848,Noligwar,40848,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_40852,Bhalgaon,40852,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_40853,Longsagari,40853,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_40854,Fagti,40854,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_40855,Pagrasu,40855,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_40857,Sukhi,40857,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_40860,Inara,40860,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_40861,Khancha talla,40861,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_40862,Khancha malla,40862,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_40863,Merag,40863,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_40864,Bara gaon,40864,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_40865,Payya chormi,40865,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_40867,Kundikhola,40867,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_40869,Raigari,40869,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_40871,Bilagar,40871,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_40873,Topovan,40873,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_40874,Gahar,40874,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_40876,Karachhon,40876,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_40877,Badal Gaitha,40877,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_40879,Jugaju chak lata,40879,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_40881,Raini Chak Lata,40881,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_40882,Pang Chak Lata,40882,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_40883,Morana Chak Subhai,40883,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_40884,Subhai,40884,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_40885,Raini Chak Subhai,40885,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_40890,Gurguti,40890,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_40893,Kailashpur,40893,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_40894,Rewal Chak Kurkuti,40894,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_40895,Farkiagaon,40895,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_40897,Jalam,40897,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_40899,Lamtoli,40899,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_40900,Kaga Laga Dronagiri,40900,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_800290,Badrinathpuri (NP),800290,,,MISSING,MISSING,,,UNRESOLVED
SETTLEMENT_800291,Joshimath  (NPP),800291,,,MISSING,MISSING,,,UNRESOLVED
