settlement_id,settlement_name,latitude,longitude,coordinate_source,coordinate_confidence,matched_address,geocoding_query,verification_status,verification_reason
SETTLEMENT_40809,Khiron,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40811,Arurhi Paturi,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40813,Pandukaswar,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40814,Pulana Chak Bhyudar,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40815,Toli Laga Chiae,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40816,Chaien,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40818,Bharkichak-Urgam,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40819,Bheta Chak Urgam,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40820,Lyari Thana,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40821,Salna Chak Urgam,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40822,Hailang,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40823,Paini,30.3051559,79.2328399,OpenStreetMap Nominatim,MEDIUM,"Paini Palli, Pokhari, Chamoli, Uttarakhand, 246446, India","Paini, Chamoli, Uttarakhand, India",REJECT,Returned address contains outside-area location: pokhari
SETTLEMENT_40824,Sailang,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40825,Gaunkh Laga Sailang,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40826,Auli Laga Joshimath,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40827,Auli Laga Salud Dugra,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40828,Salud Dugra,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40831,Uchougaur,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40833,Jakhola,29.442438,79.9053669,OpenStreetMap Nominatim,MEDIUM,"Jakhola, Dungra, Pati, Champawat, Uttarakhand, 262580, India","Jakhola, Uttarakhand, India",REJECT,Coordinates fall outside the expected Joshimath/Chamoli region
SETTLEMENT_40835,Pokhani Urf Pokhari,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40837,Tirosi,30.4767634,79.4639175,OpenStreetMap Nominatim,MEDIUM,"SubCentre, Tirosi, NH7, Tangi Talli, Langsi, Chamoli, Uttarakhand, 246472, India","Tirosi, Joshimath, Chamoli, Uttarakhand, India",REVIEW,"Chamoli/Uttarakhand match, but Joshimath not explicitly confirmed"
SETTLEMENT_40839,Tapon,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40842,Tangni talli,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40843,Tangni malli,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40844,Jalgwar,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40846,Marwadi Chak Pakhi,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40848,Noligwar,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40851,Ganai,30.4729745,79.5020465,OpenStreetMap Nominatim,MEDIUM,"SubCentre, Ganai, NH7, Lapon, Langsi, Chamoli, Uttarakhand, 246472, India","Ganai, Joshimath, Chamoli, Uttarakhand, India",REVIEW,"Chamoli/Uttarakhand match, but Joshimath not explicitly confirmed"
SETTLEMENT_40852,Bhalgaon,29.8803893,78.6039167,OpenStreetMap Nominatim,MEDIUM,"Bhalgaon, Dādāmandi, Kotdwara, Pauri Garhwal, Uttarakhand, 246124, India","Bhalgaon, Uttarakhand, India",REJECT,Coordinates fall outside the expected Joshimath/Chamoli region
SETTLEMENT_40853,Longsagari,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40854,Fagti,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40855,Pagrasu,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40857,Sukhi,29.0909403,79.6452725,OpenStreetMap Nominatim,MEDIUM,"Sukhi Nadi, Lakhanpur, Lalkuan, Nainital, Uttarakhand, India","Sukhi, Uttarakhand, India",REJECT,Coordinates fall outside the expected Joshimath/Chamoli region
SETTLEMENT_40860,Inara,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40861,Khancha talla,,,MISSING,MISSING,,,MISSING,No coordinates available
