settlement_name,latitude,longitude,source,confidence,status
Mana,30.9671228,79.4109692,OpenStreetMap Nominatim,MEDIUM,PRESERVED
Khiron,30.686187,79.482644,PaintMaps Chamoli map,MEDIUM,FILLED
Thaing,30.5667243,79.5096105,OpenStreetMap Nominatim,MEDIUM,PRESERVED
Arurhi Paturi,30.648057,79.532948,PaintMaps Chamoli map,MEDIUM,FILLED
Bhyudar,30.674709,79.5913479,OpenStreetMap Nominatim,MEDIUM,PRESERVED
Pandukaswar,30.633418,79.548607,PaintMaps Chamoli map,MEDIUM,FILLED
Pulana Chak Bhyudar,30.634643,79.572274,PaintMaps Chamoli map,MEDIUM,FILLED
Toli Laga Chiae,30.584483,79.546531,PaintMaps Chamoli map; matched spelling Toli Laga Chaie,MEDIUM,FILLED
Chaien,30.566174,79.538058,PaintMaps Chamoli map,MEDIUM,FILLED
Urgam,30.5400882,79.4566318,OpenStreetMap Nominatim,MEDIUM,PRESERVED
Bharkichak-Urgam,30.548262,79.462068,PaintMaps Chamoli map; matched spelling Bharki Chak Urgam,MEDIUM,FILLED
Bheta Chak Urgam,30.540621,79.469825,PaintMaps Chamoli map,MEDIUM,FILLED
Lyari Thana,30.529839,79.471426,PaintMaps Chamoli map,MEDIUM,FILLED
Salna Chak Urgam,30.530055,79.492736,PaintMaps Chamoli map,MEDIUM,FILLED
Hailang,30.525162,79.500225,PaintMaps Chamoli map,MEDIUM,FILLED
Paini,30.528091,79.521383,PaintMaps Chamoli map; Joshimath-area occurrence,MEDIUM,FILLED
Sailang,30.539261,79.528345,PaintMaps Chamoli map,MEDIUM,FILLED
Gaunkh Laga Sailang,30.545382,79.542532,PaintMaps Chamoli map,MEDIUM,FILLED
Auli Laga Joshimath,30.532778,79.568611,Wikidata/Census-linked Auli coordinate,MEDIUM,FILLED
Auli Laga Salud Dugra,30.525709,79.569699,PaintMaps Chamoli map,MEDIUM,FILLED
Salud Dugra,30.510883,79.523146,PaintMaps Chamoli map,MEDIUM,FILLED
Dumak,30.5072396,79.3831468,OpenStreetMap Nominatim,MEDIUM,PRESERVED
Kalgoth,30.516532,79.415042,OpenStreetMap Nominatim,MEDIUM,PRESERVED
Uchougaur,30.503089,79.431598,PaintMaps Chamoli map,MEDIUM,FILLED
Palla,30.5122953,79.4720821,OpenStreetMap Nominatim,MEDIUM,PRESERVED
Jakhola,30.507425,79.460068,PaintMaps Chamoli map,MEDIUM,FILLED
Kimana,30.4978872,79.4523689,OpenStreetMap Nominatim,MEDIUM,PRESERVED
Pokhani Urf Pokhari,30.476002,79.433276,PaintMaps Chamoli map,MEDIUM,FILLED
Lanji,30.480797,79.4483104,OpenStreetMap Nominatim,MEDIUM,PRESERVED
Tirosi,30.4767634,79.4639175,OpenStreetMap Nominatim,MEDIUM,PRESERVED
Dwing,30.4886522,79.4620501,OpenStreetMap Nominatim,MEDIUM,PRESERVED
Tapon,30.494761,79.473569,PaintMaps Chamoli map,MEDIUM,FILLED
Gulabkoti,30.5046348,79.4916067,OpenStreetMap Nominatim,MEDIUM,PRESERVED
Langsi,30.4933697,79.4792409,OpenStreetMap Nominatim,MEDIUM,PRESERVED
Tangni talli,30.477567,79.463872,PaintMaps Chamoli map,MEDIUM,FILLED
Tangni malli,30.476768,79.472709,PaintMaps Chamoli map,MEDIUM,FILLED
Jalgwar,30.465385,79.451459,PaintMaps Chamoli map,MEDIUM,FILLED
Pakhi,30.4656853,79.4513854,OpenStreetMap Nominatim,MEDIUM,PRESERVED
Marwadi Chak Pakhi,30.461114,79.44693,PaintMaps Chamoli map,MEDIUM,FILLED
Darmi,30.4620539,79.4908905,OpenStreetMap Nominatim,MEDIUM,PRESERVED
Noligwar,30.480475,79.493199,PaintMaps Chamoli map,MEDIUM,FILLED
Pagnau,30.4945351,79.4962988,OpenStreetMap Nominatim,MEDIUM,PRESERVED
Molta,30.4831116,79.5207657,OpenStreetMap Nominatim,MEDIUM,PRESERVED
Ganai,30.4729745,79.5020465,OpenStreetMap Nominatim,MEDIUM,PRESERVED
Bhalgaon,30.519004,79.732875,PaintMaps Chamoli map,MEDIUM,FILLED
Longsagari,30.596568,79.785626,PaintMaps Chamoli map,MEDIUM,FILLED
Fagti,30.55631,79.775609,PaintMaps Chamoli map,MEDIUM,FILLED
