facility_id,facility_display_name,pseudocode,state,district,block,rural_urban,lgd_urban_local_body_name,lgd_ward_name,lgd_vill_name,lgd_vill_panchayat_name,lgd_block_name,latitude,longitude,coordinate_source,coordinate_confidence
FACILITY_4410844,4,4410844,UTTARAKHAND,CHAMOLI,NANDANAGAR,1,,,Mokhtalla,Mokh Talla,Ghat,,,MISSING,MISSING
FACILITY_4086306,1,4086306,UTTARAKHAND,CHAMOLI,DASHOLI,1,,,Majyu Lagga Bemru,Syuna,Dasholi,,,MISSING,MISSING
FACILITY_9202177,1,9202177,UTTARAKHAND,CHAMOLI,KARANPRAYAG,1,,,Kolson,Kolson,Karnaprayag,,,MISSING,MISSING
FACILITY_5973404,1,5973404,UTTARAKHAND,CHAMOLI,KARANPRAYAG,1,,,Purna,Bagoli,Karnaprayag,,,MISSING,MISSING
FACILITY_6628377,1,6628377,UTTARAKHAND,CHAMOLI,GAIRSAIN,1,,,Panchali,Panchali,Gairsain,,,MISSING,MISSING
FACILITY_1780963,1,1780963,UTTARAKHAND,CHAMOLI,NARAYANBAGAR,1,,,Kot,Kot,Narayanbagar,,,MISSING,MISSING
FACILITY_4744953,4,4744953,UTTARAKHAND,CHAMOLI,NANDANAGAR,1,,,Ala Chak Bura,Aala Jokhana,Ghat,,,MISSING,MISSING
FACILITY_6566940,1,6566940,UTTARAKHAND,CHAMOLI,THARALI,1,,,Kuni,Kuni Partha,Tharali,,,MISSING,MISSING
FACILITY_5829185,1,5829185,UTTARAKHAND,CHAMOLI,KARANPRAYAG,1,,,Sidoli,Sidoli,Karnaprayag,,,MISSING,MISSING
FACILITY_5188887,1,5188887,UTTARAKHAND,CHAMOLI,NANDANAGAR,1,,,Manakhi,Manakhi,Ghat,,,MISSING,MISSING
FACILITY_6881233,1,6881233,UTTARAKHAND,CHAMOLI,DASHOLI,1,,,Math Jhadeta,Math Jhadeta,Dasholi,,,MISSING,MISSING
FACILITY_7454087,7,7454087,UTTARAKHAND,CHAMOLI,GAIRSAIN,1,,,Pyura,Pyura,Gairsain,,,MISSING,MISSING
FACILITY_4325108,1,4325108,UTTARAKHAND,CHAMOLI,POKHARI,1,,,Bingar,Bingarh,Pokhari,,,MISSING,MISSING
FACILITY_9657695,1,9657695,UTTARAKHAND,CHAMOLI,THARALI,1,,,Harchan,Tungeshwar,Tharali,,,MISSING,MISSING
FACILITY_3090189,5,3090189,UTTARAKHAND,CHAMOLI,GAIRSAIN,1,,,Bhatmwali,Batagwali,Gairsain,,,MISSING,MISSING
FACILITY_9853968,1,9853968,UTTARAKHAND,CHAMOLI,Jyotirmath,1,,,Topovan,Tapovan,Joshimath,,,MISSING,MISSING
FACILITY_6514824,4,6514824,UTTARAKHAND,CHAMOLI,NANDANAGAR,1,,,Luntara,Luntara,Ghat,,,MISSING,MISSING
FACILITY_7835805,7,7835805,UTTARAKHAND,CHAMOLI,NANDANAGAR,1,,,Kumjug,Kumjug,Ghat,,,MISSING,MISSING
FACILITY_6410195,1,6410195,UTTARAKHAND,CHAMOLI,POKHARI,1,,,Kwithi,Kwinthi,Pokhari,,,MISSING,MISSING
FACILITY_4252507,1,4252507,UTTARAKHAND,CHAMOLI,GAIRSAIN,1,,,Kaira,Dairha,Gairsain,,,MISSING,MISSING
FACILITY_5187269,4,5187269,UTTARAKHAND,CHAMOLI,KARANPRAYAG,1,,,Jasyara,Jasyara,Karnaprayag,,,MISSING,MISSING
FACILITY_8856964,1,8856964,UTTARAKHAND,CHAMOLI,DEWAL,1,,,Padmalla,Padmala,Dewal,,,MISSING,MISSING
FACILITY_9012679,1,9012679,UTTARAKHAND,CHAMOLI,THARALI,1,,,Kurad,Kurad,Tharali,,,MISSING,MISSING
FACILITY_9815463,1,9815463,UTTARAKHAND,CHAMOLI,DASHOLI,1,,,Gawar,Gwad,Dasholi,,,MISSING,MISSING
FACILITY_1009881,1,1009881,UTTARAKHAND,CHAMOLI,DEWAL,1,,,Ghes,Ghes,Dewal,,,MISSING,MISSING
FACILITY_1822939,1,1822939,UTTARAKHAND,CHAMOLI,DEWAL,1,,,Torati,Torti,Dewal,,,MISSING,MISSING
FACILITY_9122080,7,9122080,UTTARAKHAND,CHAMOLI,Jyotirmath,1,,,Raigari,Regdi,Joshimath,,,MISSING,MISSING
FACILITY_9987436,1,9987436,UTTARAKHAND,CHAMOLI,POKHARI,1,,,Bhikauna,Bhikona,Pokhari,,,MISSING,MISSING
FACILITY_8980249,4,8980249,UTTARAKHAND,CHAMOLI,DASHOLI,1,,,Salaraitoli,Salla Retoli,Dasholi,,,MISSING,MISSING
FACILITY_7052231,1,7052231,UTTARAKHAND,CHAMOLI,GAIRSAIN,1,,,Kulagar,Andrapa,Gairsain,,,MISSING,MISSING
FACILITY_8150328,5,8150328,UTTARAKHAND,CHAMOLI,DASHOLI,1,,,Bairagana,Bairagana,Dasholi,,,MISSING,MISSING
FACILITY_7934238,7,7934238,UTTARAKHAND,CHAMOLI,NARAYANBAGAR,1,,,Kandwal Gaon,Kandwal Gaon,Narayanbagar,,,MISSING,MISSING
FACILITY_5296571,3,5296571,UTTARAKHAND,CHAMOLI,Jyotirmath,2,Joshimath-Municipality,Joshimath (MB) - Gaandhinagar Ward No.1,,,,,,MISSING,MISSING
FACILITY_9624332,7,9624332,UTTARAKHAND,CHAMOLI,NANDANAGAR,1,,,Nagbugar Urf Farkhet,Nagbagar(Farkhet),Ghat,,,MISSING,MISSING
FACILITY_3750340,5,3750340,UTTARAKHAND,CHAMOLI,Jyotirmath,2,Joshimath-Municipality,Joshimath (MB) - Uper Bazaar-Daando Ward No.6,,,,,,MISSING,MISSING
FACILITY_6570989,1,6570989,UTTARAKHAND,CHAMOLI,THARALI,2,Tharali-Town Panchayat,Tharali (NP) - Uper Bazaar Tharali Ward No. 3,,,,,,MISSING,MISSING
FACILITY_5597551,5,5597551,UTTARAKHAND,CHAMOLI,KARANPRAYAG,1,,,Kanda Maikhura,Kanda Maikhura,Karnaprayag,,,MISSING,MISSING
FACILITY_9508807,1,9508807,UTTARAKHAND,CHAMOLI,DASHOLI,2,Chamoli Gopeshwar-Municipality,Chamoli Gopeshwar (MB) -Sagar Gangol Gaon Ward No.1,,,,,,MISSING,MISSING
FACILITY_3683502,1,3683502,UTTARAKHAND,CHAMOLI,THARALI,1,,,Bursol,Bursol,Tharali,,,MISSING,MISSING
FACILITY_2684268,1,2684268,UTTARAKHAND,CHAMOLI,KARANPRAYAG,1,,,Gairoli,Chamola,Karnaprayag,,,MISSING,MISSING
FACILITY_3199471,1,3199471,UTTARAKHAND,CHAMOLI,DEWAL,1,,,Sawad,Sawad,Dewal,,,MISSING,MISSING
FACILITY_7607543,1,7607543,UTTARAKHAND,CHAMOLI,KARANPRAYAG,1,,,Padli,Khatyari,Karnaprayag,,,MISSING,MISSING
FACILITY_7857221,1,7857221,UTTARAKHAND,CHAMOLI,POKHARI,1,,,Gudam,Gudam,Pokhari,,,MISSING,MISSING
