pseudocode,state,district,block,rural_urban,lgd_urban_local_body_name,lgd_ward_name,lgd_vill_name,lgd_vill_panchayat_name,lgd_block_name,school_category,school_type,lowclass,highclass,managment,pincode,special_school_for_cwsn,shift_school,resi_school,resi_type,minority_school,medium_instr1,medium_of_instr2,medium_of_instr3,medium_of_instr4,aff_board_sec,aff_board_hsec,approachable_road,pre_primary,anganwadi_yn,avg_instr_days,cce_yn,same_sch_b,same_sch_g,other_sch_b,other_sch_g,anganwadi_ecce_b,anganwadi_ecce_g,cwsn_sch_type,rte_25p_admission_yn,estd_year,certified_fit_india_yn,is_nsqf,prevoc_yn,stc_yn,smdc_pta_yn,smdc_pta_meeting,remedial_tch_enrol,learner_holistic_rptcard_yn,facility_building_status,facility_no_building_blocks,facility_pucca_building_blocks,facility_boundary_wall,facility_total_class_rooms,facility_other_rooms,facility_classrooms_in_good_condition,facility_classrooms_needs_minor_repair,facility_classrooms_needs_major_repair,facility_separate_room_for_hm,facility_total_boys_toilet,facility_total_boys_func_toilet,facility_total_girls_toilet,facility_total_girls_func_toilet,facility_total_boys_cwsn_toilet,facility_func_boys_cwsn_friendly,facility_total_girls_cwsn_toilet,facility_func_girls_cwsn_friendly,facility_urinal_boys,facility_urinal_girls,facility_handwash_near_toilet,facility_hand_pump_yn,facility_well_prot_yn,facility_tap_yn,facility_othsrc_yn,facility_well_unprot_yn,facility_pack_water_yn,facility_hand_pump_fun_yn,facility_well_prot_fun_yn,facility_tap_fun_yn,facility_othsrc_fun_yn,facility_well_unprot_fun_yn,facility_pack_water_fun_yn,facility_rain_water_harvesting,facility_handwash_facility_for_meal,facility_electricity_availability,facility_solar_panel,facility_library_availability,facility_book_bank,facility_reading_corner,facility_playground_available,facility_playground_alt_yn,facility_medical_checkups,facility_availability_ramps,facility_availability_of_handrails,facility_furniture_availability,facility_phy_lab_cond,facility_chem_lab_cond,facility_bio_lab_cond,facility_math_lab_cond,facility_lang_lab_cond,facility_geo_lab_cond,facility_home_sc_lab_cond,facility_psycho_lab_cond,facility_comp_lab_cond,facility_comp_ict_lab_yn,facility_ict_lab_yn,facility_laptop,facility_tablet,facility_desktop,facility_digiboard,facility_teachdev_tot,facility_server_tot,facility_smart_class_tv_tot,facility_projector,facility_printer,facility_internet,facility_dth,facility_spl_educator_yn,facility_librarian_yn,facility_land_avl_yn,facility_kitchen_garden_yn,facility_staff_qtr_yn,facility_tinkering_lab_yn,facility_boarding_pri_yn,facility_boarding_upr_yn,facility_boarding_sec_yn,facility_boarding_hsec_yn,facility_cyber_safety,facility_psycho_social,facility_enrichment_activities,safety_sdmp_plan_yn,safety_struct_safaud_yn,safety_nonstr_safaud_yn,safety_cctv_cam_yn,safety_fire_ext_yn,safety_nodal_tch_yn,safety_safty_trng_yn,safety_dismgmt_taug_yn,safety_slfdef_grt_yn,safety_slfdef_trained,safety_guide_display_yn,safety_tch_first_level_counsellor,safety_safe_sec_audit,safety_teacher_displaying_photo,safety_vidya_pravesh,safety_stu_atndnc_yn,safety_tch_atndnc_yn,safety_sch_youth_club_yn,safety_sch_eco_club_yn,safety_tch_icard_yn,safety_self_cert_obtained_yn
4410844,UTTARAKHAND,CHAMOLI,NANDANAGAR,1,,,Mokhtalla,Mokh Talla,Ghat,4,3,6,8,1,246449,2,2,3,0,2,4,19,14,0,0,0,2,9,9,224,1,0,0,0,0,0,0,9,9,2006,1,2,2,2,1,3,0,1,3,1,1,7,3,2,0,3,0,1,1,0,1,1,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,9,1,2,9,1,0,0,0,0,0,0,0,0,0,2,9,0,0,4,0,0,0,0,0,1,1,1,3,2,1,1,9,9,9,9,9,9,48,0,1.0,1,1,1,2,1,1,1,1,1,10,1,2,3,1,1,2,2,1,1,1,1
4086306,UTTARAKHAND,CHAMOLI,DASHOLI,1,,,Majyu Lagga Bemru,Syuna,Dasholi,1,3,1,5,1,246472,2,2,3,0,2,4,19,0,0,0,0,1,2,1,223,1,0,0,0,0,1,0,9,9,1984,1,2,9,2,2,0,0,1,3,1,0,2,2,2,2,0,0,1,1,1,1,1,0,0,0,0,1,1,1,2,2,1,2,2,1,2,2,1,2,2,1,2,1,1,2,1,2,2,1,9,1,2,9,1,0,0,0,0,0,0,0,0,0,2,9,0,2,1,0,0,0,0,0,0,1,2,1,1,1,1,9,9,2,9,9,9,0,0,1.0,1,1,1,2,1,1,1,1,9,0,1,1,4,1,1,2,2,1,1,1,1
9202177,UTTARAKHAND,CHAMOLI,KARANPRAYAG,1,,,Kolson,Kolson,Karnaprayag,1,3,1,5,1,246444,2,2,3,0,2,4,0,0,0,0,0,1,2,1,232,1,0,0,0,0,1,0,9,9,1940,1,2,9,2,2,0,1,1,3,2,2,1,3,2,2,1,0,1,1,1,1,1,1,1,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,2,1,0,0,0,0,0,0,1,2,3,2,2,1,9,9,2,9,9,9,13,0,1.0,1,1,1,2,1,1,1,1,9,0,1,1,1,1,1,2,2,1,1,1,1
5973404,UTTARAKHAND,CHAMOLI,KARANPRAYAG,1,,,Purna,Bagoli,Karnaprayag,1,3,1,5,1,246444,2,2,3,0,2,4,0,0,0,0,0,2,2,2,0,1,0,0,0,0,0,0,9,9,1998,1,2,9,2,2,0,0,1,3,1,1,5,2,1,0,0,2,1,1,1,1,1,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,1,0,0,0,0,0,0,0,1,2,3,2,1,1,9,9,2,9,9,9,0,0,2.0,1,1,1,2,1,1,1,1,9,0,1,1,2,1,1,2,2,1,1,1,1
6628377,UTTARAKHAND,CHAMOLI,GAIRSAIN,1,,,Panchali,Panchali,Gairsain,1,3,1,5,1,246428,2,2,3,0,2,4,19,14,0,0,0,2,2,2,227,1,0,0,0,0,0,0,9,9,1948,1,2,9,2,2,0,2,1,3,1,1,3,2,1,2,0,0,1,1,1,1,1,0,0,0,0,1,0,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,0,2,1,0,0,0,0,0,1,1,2,3,2,2,1,9,9,2,9,9,9,94,0,1.0,1,1,1,2,1,1,2,1,9,0,1,1,3,1,1,2,2,1,1,1,1
1780963,UTTARAKHAND,CHAMOLI,NARAYANBAGAR,1,,,Kot,Kot,Narayanbagar,1,3,1,5,1,246453,2,2,3,0,2,4,19,14,0,0,0,2,2,1,227,1,0,0,0,0,0,0,9,9,1992,1,2,9,2,2,0,1,1,3,2,0,1,2,1,2,0,0,1,1,1,1,1,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,1,0,0,0,0,0,0,0,1,2,3,2,1,1,9,9,2,9,9,9,1,0,1.0,1,1,1,2,1,1,1,1,9,0,1,1,2,1,1,2,2,1,1,1,2
4744953,UTTARAKHAND,CHAMOLI,NANDANAGAR,1,,,Ala Chak Bura,Aala Jokhana,Ghat,4,3,6,8,1,246435,2,2,3,0,2,4,19,14,0,0,0,2,9,9,226,1,0,0,0,0,0,0,9,9,2009,2,2,2,2,2,0,2,1,3,1,1,1,3,2,0,3,0,1,1,1,1,1,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,1,1,2,1,1,9,1,1,1,2,0,0,0,0,0,0,0,0,0,2,9,0,0,1,0,0,0,0,0,0,1,2,3,2,1,1,9,9,9,9,9,9,18,18,1.0,1,1,1,2,1,1,1,1,2,17,1,1,2,1,1,2,2,1,1,1,1
6566940,UTTARAKHAND,CHAMOLI,THARALI,1,,,Kuni,Kuni Partha,Tharali,1,3,1,5,1,246481,2,2,3,0,2,4,0,0,0,0,0,2,2,1,225,1,0,0,0,0,2,1,9,9,1985,1,2,9,2,2,0,3,1,3,1,0,5,1,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,9,1,2,9,1,0,0,0,0,0,0,0,0,0,2,9,0,1,2,0,0,0,0,0,0,1,1,3,2,2,1,9,9,2,9,9,9,0,0,1.0,1,2,1,2,1,1,1,1,9,0,1,1,1,1,1,2,2,1,1,1,1
5829185,UTTARAKHAND,CHAMOLI,KARANPRAYAG,1,,,Sidoli,Sidoli,Karnaprayag,1,3,1,5,5,246429,2,2,3,0,2,4,14,19,0,0,0,2,1,9,0,1,3,0,0,0,0,0,9,9,2006,9,2,9,2,9,0,0,9,1,1,1,1,5,6,5,0,0,1,1,1,1,1,1,0,0,0,1,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,2,9,1,0,0,0,0,0,0,0,0,0,2,9,0,0,5,0,0,0,0,0,1,2,2,3,2,1,1,9,9,1,9,9,9,0,0,,2,2,1,1,1,1,1,1,9,0,1,2,1,1,2,1,1,2,2,1,1
5188887,UTTARAKHAND,CHAMOLI,NANDANAGAR,1,,,Manakhi,Manakhi,Ghat,1,3,1,5,1,246435,2,2,3,0,2,4,19,14,0,0,0,2,2,2,226,1,0,0,0,0,0,0,9,9,1993,1,2,9,2,1,0,0,1,3,1,1,2,2,1,2,0,0,1,1,1,1,1,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,2,2,0,0,0,0,0,0,0,0,0,2,9,0,2,2,0,0,0,0,0,0,1,2,1,2,1,1,9,9,2,9,9,9,5,0,1.0,1,1,1,2,1,1,1,1,9,0,1,1,1,1,1,2,2,1,1,1,1
