settlement_id,settlement_name,population_2026,latitude,longitude,has_coordinates,hazard_exposure_score,exposure_score,exposure_level,relocation_priority_score,relocation_priority_level,allocated_population,remaining_population,relocation_status,best_destination_site_id,best_destination_site,best_ai_score,best_distance_km,allocation_rows,final_decision,existing_recommended_action,exposure_available,relocation_recommendation_available,decision_data_quality
SETTLEMENT_800291,Joshimath  (NPP),19689,30.555,79.565,True,39.3974,57.5782,MODERATE,57.58,HIGH,2727,16962,PARTIALLY_ALLOCATED,5582604.0,Educational Facility,65.042,8.86,74,ADDITIONAL_CAPACITY_REQUIRED,Enhanced monitoring and preparedness,True,True,COMPLETE
SETTLEMENT_40855,Pagrasu,66,30.5508,79.7549,True,78.88,55.3166,MODERATE,55.32,HIGH,0,66,NOT_ALLOCATED,,,,,0,RELOCATION_RECOMMENDED,Enhanced monitoring and preparedness,True,False,COMPLETE
SETTLEMENT_40890,Gurguti,295,30.7111,79.8436,True,64.7,45.7395,MODERATE,45.74,MODERATE,0,295,NOT_ALLOCATED,,,,,0,MONITOR,Enhanced monitoring and preparedness,True,False,COMPLETE
SETTLEMENT_40891,Mahargaon,317,30.4061,79.4206,True,64.16,45.395,MODERATE,45.4,MODERATE,0,317,NOT_ALLOCATED,,,,,0,MONITOR,Enhanced monitoring and preparedness,True,False,COMPLETE
SETTLEMENT_40889,Niti,55,30.7777,79.8411,True,64.46,45.2058,MODERATE,45.21,MODERATE,0,55,NOT_ALLOCATED,,,,,0,MONITOR,Enhanced monitoring and preparedness,True,False,COMPLETE
SETTLEMENT_40883,Morana Chak Subhai,27,30.4693,79.7037,True,60.85,42.6361,MODERATE,42.64,MODERATE,0,27,NOT_ALLOCATED,,,,,0,MONITOR,Enhanced monitoring and preparedness,True,False,COMPLETE
SETTLEMENT_40808,Mana,1430,30.9671,79.411,True,57.76,42.6109,MODERATE,42.61,MODERATE,0,1430,NOT_ALLOCATED,,,,,0,MONITOR,Enhanced monitoring and preparedness,True,False,COMPLETE
SETTLEMENT_40879,Jugaju chak lata,42,30.4902,79.6915,True,60.65,42.519,MODERATE,42.52,MODERATE,0,42,NOT_ALLOCATED,,,,,0,MONITOR,Enhanced monitoring and preparedness,True,False,COMPLETE
SETTLEMENT_40896,Kosa,356,30.6779,79.8609,True,59.35,42.0874,MODERATE,42.09,MODERATE,0,356,NOT_ALLOCATED,,,,,0,MONITOR,Enhanced monitoring and preparedness,True,False,COMPLETE
SETTLEMENT_40884,Subhai,670,30.4791,79.6769,True,55.42,39.8149,LOW,39.81,MODERATE,0,670,NOT_ALLOCATED,,,,,0,MONITOR,Routine monitoring,True,False,COMPLETE
SETTLEMENT_40809,Khiron,106,30.6862,79.4826,True,56.1161,39.4428,LOW,39.44,MODERATE,0,106,NOT_ALLOCATED,,,,,0,MONITOR,Routine monitoring,True,False,COMPLETE
SETTLEMENT_40811,Arurhi Paturi,718,30.6481,79.5329,True,53.9215,38.8391,LOW,38.84,MODERATE,0,718,NOT_ALLOCATED,,,,,0,MONITOR,Routine monitoring,True,False,COMPLETE
SETTLEMENT_40813,Pandukaswar,1645,30.6334,79.5486,True,48.5296,36.4772,LOW,36.48,MODERATE,0,1645,NOT_ALLOCATED,,,,,0,MONITOR,Routine monitoring,True,False,COMPLETE
SETTLEMENT_40905,Chamoli,0,30.4397,79.4305,True,51.98,36.386,LOW,36.39,MODERATE,0,0,NO_POPULATION,,,,,0,NO_POPULATION,Routine monitoring,True,False,COMPLETE
SETTLEMENT_40885,Raini Chak Subhai,304,30.4862,79.6914,True,51.04,36.1912,LOW,36.19,MODERATE,0,304,NOT_ALLOCATED,,,,,0,MONITOR,Routine monitoring,True,False,COMPLETE
SETTLEMENT_40854,Fagti,0,30.5563,79.7756,True,50.9,35.63,LOW,35.63,MODERATE,0,0,NO_POPULATION,,,,,0,NO_POPULATION,Routine monitoring,True,False,COMPLETE
SETTLEMENT_40853,Longsagari,118,30.5966,79.7856,True,50.34,35.4178,LOW,35.42,MODERATE,0,118,NOT_ALLOCATED,,,,,0,MONITOR,Routine monitoring,True,False,COMPLETE
SETTLEMENT_40893,Kailashpur,186,30.7069,79.8761,True,49.46,34.9054,LOW,34.91,MODERATE,0,186,NOT_ALLOCATED,,,,,0,MONITOR,Routine monitoring,True,False,COMPLETE
SETTLEMENT_40901,Garpak,78,30.6269,79.8542,True,49.66,34.8808,LOW,34.88,MODERATE,0,78,NOT_ALLOCATED,,,,,0,MONITOR,Routine monitoring,True,False,COMPLETE
SETTLEMENT_40900,Kaga Laga Dronagiri,114,30.6121,79.824,True,49.13,34.5647,LOW,34.56,MODERATE,0,114,NOT_ALLOCATED,,,,,0,MONITOR,Routine monitoring,True,False,COMPLETE
SETTLEMENT_40892,Malari,2278,30.6846,79.8894,True,44.28,34.467,LOW,34.47,MODERATE,0,2278,NOT_ALLOCATED,,,,,0,MONITOR,Routine monitoring,True,False,COMPLETE
SETTLEMENT_40881,Raini Chak Lata,171,30.4883,79.6948,True,48.31,34.0776,LOW,34.08,MODERATE,0,171,NOT_ALLOCATED,,,,,0,MONITOR,Routine monitoring,True,False,COMPLETE
SETTLEMENT_40897,Jalam,264,30.6382,79.8252,True,46.63,33.0433,LOW,33.04,MODERATE,0,264,NOT_ALLOCATED,,,,,0,MONITOR,Routine monitoring,True,False,COMPLETE
SETTLEMENT_800290,Badrinathpuri (NP),2873,30.743,79.494,True,40.4311,32.6794,LOW,32.68,MODERATE,0,2873,NOT_ALLOCATED,,,,,0,MONITOR,Routine monitoring,True,False,COMPLETE
SETTLEMENT_40880,Lata,359,30.4967,79.7072,True,45.85,32.642,LOW,32.64,MODERATE,0,359,NOT_ALLOCATED,,,,,0,MONITOR,Routine monitoring,True,False,COMPLETE
SETTLEMENT_40858,Kuraipani,33,30.5147,79.7204,True,45.76,32.0823,LOW,32.08,MODERATE,0,33,NOT_ALLOCATED,,,,,0,MONITOR,Routine monitoring,True,False,COMPLETE
SETTLEMENT_40812,Bhyudar,72,30.6747,79.5913,True,43.2576,30.39,LOW,30.39,MODERATE,0,72,NOT_ALLOCATED,,,,,0,MONITOR,Routine monitoring,True,False,COMPLETE
SETTLEMENT_40887,Bampa,226,30.7437,79.8297,True,41.72,29.5484,LOW,29.55,MODERATE,0,226,NOT_ALLOCATED,,,,,0,MONITOR,Routine monitoring,True,False,COMPLETE
SETTLEMENT_40815,Toli Laga Chiae,53,30.5845,79.5465,True,41.9141,29.4206,LOW,29.42,MODERATE,0,53,NOT_ALLOCATED,,,,,0,MONITOR,Routine monitoring,True,False,COMPLETE
