source_settlement_id,source_settlement,source_population_2026_est,destination_site_id,destination_site,destination_village,allocated_people,ai_score,ai_rank,distance_km,site_safe_score,site_accessibility,site_infrastructure,site_capacity_original,site_capacity_remaining_after,destination_latitude,destination_longitude,allocation_status,allocation_reason
SETTLEMENT_40832,Palla,435,7073310,Educational Facility,Pakhi,50,62.303,1.0,5.549,69.24,100.0,100.0,50,0,30.4656853,79.4513854,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40832,Palla,435,5582604,Educational Facility,Pandukaswar,100,61.655,2.0,15.332,71.23,100.0,85.0,100,0,30.633418,79.548607,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40832,Palla,435,9122080,Educational Facility,Raigari,75,60.293,3.0,13.949,69.86,100.0,90.0,75,0,30.477774,79.612045,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40832,Palla,435,9156747,Educational Facility,Langsi,62,58.855,4.0,2.213,63.47,100.0,90.0,62,0,30.4933697,79.4792409,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40832,Palla,435,1269696,Educational Facility,Pakhi,50,58.789,5.0,5.549,63.74,100.0,90.0,50,0,30.4656853,79.4513854,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40832,Palla,435,3856092,Educational Facility,Bara Gaon,62,58.464,6.0,12.327,66.72,100.0,85.0,62,0,30.521287,79.600341,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40832,Palla,435,4283719,Educational Facility,Urgam,36,58.442,7.0,3.426,53.86,40.0,75.0,125,89,30.5400882,79.4566318,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40865,Payya chormi,158,4270841,Educational Facility,Subhai,50,59.608,4.0,7.789,67.74,100.0,90.0,50,0,30.479065,79.676862,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40865,Payya chormi,158,9859864,Educational Facility,Bara Gaon,75,59.395,5.0,0.92,63.61,100.0,75.0,75,0,30.521287,79.600341,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40865,Payya chormi,158,5466335,Educational Facility,Chaien,33,57.701,7.0,8.68,68.18,100.0,100.0,37,4,30.566174,79.538058,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40824,Sailang,897,5466335,Educational Facility,Chaien,4,58.303,7.0,3.134,68.18,100.0,100.0,37,0,30.566174,79.538058,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40824,Sailang,897,4283719,Educational Facility,Urgam,89,58.037,8.0,6.869,53.86,40.0,75.0,125,0,30.5400882,79.4566318,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40824,Sailang,897,5052642,Educational Facility,Tangni Talli,37,57.549,9.0,9.231,68.18,100.0,100.0,37,0,30.477567,79.463872,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40824,Sailang,897,6188919,Educational Facility,Pandukaswar,62,57.443,11.0,10.648,63.47,100.0,90.0,62,0,30.633418,79.548607,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40824,Sailang,897,6207244,Educational Facility,Sailang,37,57.42,12.0,0.0,66.1,100.0,95.0,37,0,30.539261,79.528345,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40824,Sailang,897,2583233,Educational Facility,Paini,37,57.411,13.0,1.41,66.1,100.0,95.0,37,0,30.528091,79.521383,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40824,Sailang,897,9909530,Educational Facility,Urgam,37,56.943,14.0,6.869,65.93,100.0,85.0,37,0,30.5400882,79.4566318,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40824,Sailang,897,3602283,Educational Facility,Dhak,37,56.848,15.0,9.132,66.68,100.0,90.0,37,0,30.498861,79.6113429,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40824,Sailang,897,7070729,Educational Facility,Langsi,25,56.606,16.0,6.94,67.12,100.0,100.0,25,0,30.4933697,79.4792409,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40824,Sailang,897,9853968,Educational Facility,Topovan,25,56.185,18.0,8.547,67.12,100.0,100.0,25,0,30.4861,79.4639,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40824,Sailang,897,1022466,Educational Facility,Dhak,25,56.094,19.0,9.132,67.12,100.0,100.0,25,0,30.498861,79.6113429,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40824,Sailang,897,6630117,Educational Facility,Pandukaswar,25,55.624,20.0,10.648,67.12,100.0,100.0,25,0,30.633418,79.548607,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40824,Sailang,897,5266420,Educational Facility,Topovan,37,54.764,21.0,8.547,63.85,100.0,80.0,37,0,30.4861,79.4639,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40824,Sailang,897,6479396,Educational Facility,Langsi,25,54.741,22.0,6.94,65.62,100.0,90.0,25,0,30.4933697,79.4792409,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40824,Sailang,897,4767357,Educational Facility,Tangni Talli,37,54.713,23.0,9.231,64.43,100.0,75.0,37,0,30.477567,79.463872,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40824,Sailang,897,7245067,Educational Facility,Tapon,25,54.706,24.0,7.212,65.62,100.0,90.0,25,0,30.494761,79.473569,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40824,Sailang,897,6190652,Educational Facility,Bara Gaon,25,54.687,25.0,7.179,65.62,100.0,90.0,25,0,30.521287,79.600341,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40824,Sailang,897,6263131,Educational Facility,Tangni Malli,25,54.56,26.0,8.758,65.04,100.0,95.0,25,0,30.476768,79.472709,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40824,Sailang,897,8338533,Educational Facility,Chaien,25,54.553,27.0,3.134,64.87,100.0,85.0,25,0,30.566174,79.538058,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40824,Sailang,897,3716848,Educational Facility,Gulabkoti,25,54.506,28.0,5.216,64.87,100.0,85.0,25,0,30.5046348,79.4916067,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40824,Sailang,897,3045824,Educational Facility,Pandukaswar,37,54.104,29.0,10.648,63.85,100.0,80.0,37,0,30.633418,79.548607,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40824,Sailang,897,1594739,Educational Facility,Raini Chak Lata,50,53.9,30.0,16.924,63.74,100.0,90.0,50,0,30.488322,79.694825,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40824,Sailang,897,5443985,Educational Facility,Paini,25,53.631,31.0,1.41,61.62,100.0,90.0,25,0,30.528091,79.521383,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40824,Sailang,897,3604656,Educational Facility,Palla,25,53.459,32.0,6.167,63.37,100.0,75.0,25,0,30.5122953,79.4720821,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40824,Sailang,897,5553910,Educational Facility,Palla,25,53.459,33.0,6.167,63.37,100.0,75.0,25,0,30.5122953,79.4720821,ALLOCATED,AI-ranked geographically verified safe site with available capacity
