cell_id,lat,lon,elevation,slope,aspect,curvature,flow_accumulation,historical_landslide,landslide_id,landslide_year,training_event,control_for_event
cell_935_571,30.561884283667776,79.56842767035798,1464,34.613857,357.4471,-0.0011235332,11.959691300448602,0,,,LS_005,LS_005
cell_1155_203,30.504154943618488,79.46013976039261,2328,34.953007,39.39072,-0.008759993,4.054066046429071,0,,,LS_003,LS_003
cell_1132_112,30.509738333467336,79.43306360093733,3081,24.054846,256.92087,-0.010613853,40.26747446406991,0,,,LS_004,LS_004
cell_1148_192,30.505913556293905,79.45684985961063,2355,34.671234,49.635456,-0.005187344,14.186567303768546,0,,,LS_003,LS_003
cell_508_144,30.670055487625287,79.43998779531223,3496,36.452263,115.346176,0.0040010093,11.24905201487396,1,LS_006,2017.0,LS_006,LS_006
cell_509_130,30.669748757396743,79.43583387449489,3767,39.644775,120.23457,0.010168431,20.704484027178243,0,,,LS_006,LS_006
cell_526_150,30.66545567669776,79.44184399748096,3854,36.565117,310.19653,-0.016930636,27.24690493735131,0,,,LS_006,LS_006
cell_1157_212,30.50367296200012,79.46281635774471,2226,36.941296,43.106617,0.005276828,2.053077930436196,0,,,LS_003,LS_003
cell_498_153,30.67265489060357,79.44261964615053,3379,38.637833,102.05079,-0.0072187735,56.1416734311304,0,,,LS_006,LS_006
cell_1051_96,30.53047692554317,79.4279846307807,3134,28.715796,77.969406,9.314315e-05,10.746826308630242,0,,,LS_008,LS_008
cell_492_154,30.67419884979274,79.44289194610268,3410,31.329533,106.34289,0.004169406,28.416735093356507,0,,,LS_006,LS_006
cell_1013_1040,30.54331224539137,79.70784671461671,3883,41.221992,54.79621,-0.0019209847,13.295799407419665,0,,,LS_007,LS_007
cell_1133_71,30.5093348435132,79.42091067714607,2501,50.2266,248.78203,0.015532807,4.548149281639681,0,,,LS_004,LS_004
cell_1128_228,30.511174368270545,79.46744359282835,2559,25.990107,100.90502,-4.260998e-05,7.541745665187173,0,,,LS_003,LS_003
cell_948_569,30.55853997778196,79.567883313995,1680,28.321676,342.451,0.0006995595,6.892330709144799,0,,,LS_005,LS_005
cell_1139_70,30.507790828708803,79.4206390675348,2382,34.052265,278.97263,-0.0023063556,22.65627982110404,0,,,LS_004,LS_004
cell_1096_307,30.51966361739684,79.49074222233791,1467,42.328743,83.35472,-0.003938949,40.750274305201714,0,,,LS_002,LS_002
cell_1104_315,30.517637116091123,79.49314634213444,1216,11.437297,332.8787,-0.009661524,1079313.295106687,0,,,LS_002,LS_002
cell_497_132,30.672836696964755,79.43637825263872,3945,40.928722,103.47316,0.009503368,5.956803158724924,0,,,LS_006,LS_006
cell_1140_195,30.507978018303767,79.45770695879476,2443,31.972574,193.8407,-0.0022318268,7.129621746953919,0,,,LS_003,LS_003
cell_1156_210,30.503922708395947,79.46221931575424,2250,49.286816,46.83773,0.009470355,3.1446995242239457,0,,,LS_003,LS_003
cell_1013_54,30.540081938897195,79.41537002975215,3353,37.675232,18.228855,-0.008608944,7.677635381845981,0,,,LS_008,LS_008
cell_495_136,30.67336445676476,79.43755803725276,3853,43.119102,126.224945,-0.0030069978,13.73240502024388,0,,,LS_006,LS_006
cell_947_567,30.55879020169831,79.56728617810771,1655,34.72949,351.25385,-0.005434407,1193.0937453546708,0,,,LS_005,LS_005
cell_488_132,30.67514728767141,79.43634102669371,3996,46.64625,87.86131,0.0021825964,2.5431698834656182,0,,,LS_006,LS_006
cell_1043_75,30.53245550127058,79.42172330867412,3203,30.120636,293.6542,0.009728748,1.2204524292050485,0,,,LS_008,LS_008
