settlement_id,settlement_name,STATE,DISTRICT,SUBDISTT,TOWN/VILLAGE,WARD,LEVEL,settlement_type,NO_HH,households,TOT_P,TOT_M,TOT_F,population_2011,population,population_growth,population_growth_pct,POPULATION_YEAR,SOURCE,NAME_CLEAN
SETTLEMENT_40808,Mana,5,57,284,40808,0,VILLAGE,Rural,558,558,1214,731,483,1214,1430,216,17.792421746293247,2011,Census of India - Population Census 2011,MANA
SETTLEMENT_40809,Khiron,5,57,284,40809,0,VILLAGE,Rural,30,30,90,47,43,90,106,16,17.77777777777778,2011,Census of India - Population Census 2011,KHIRON
SETTLEMENT_40810,Thaing,5,57,284,40810,0,VILLAGE,Rural,165,165,806,405,401,806,950,144,17.866004962779154,2011,Census of India - Population Census 2011,THAING
SETTLEMENT_40811,Arurhi Paturi,5,57,284,40811,0,VILLAGE,Rural,132,132,609,307,302,609,718,109,17.898193760262725,2011,Census of India - Population Census 2011,ARURHI PATURI
SETTLEMENT_40812,Bhyudar,5,57,284,40812,0,VILLAGE,Rural,11,11,61,33,28,61,72,11,18.0327868852459,2011,Census of India - Population Census 2011,BHYUDAR
SETTLEMENT_40813,Pandukaswar,5,57,284,40813,0,VILLAGE,Rural,312,312,1396,711,685,1396,1645,249,17.836676217765042,2011,Census of India - Population Census 2011,PANDUKASWAR
SETTLEMENT_40814,Pulana Chak Bhyudar,5,57,284,40814,0,VILLAGE,Rural,55,55,285,135,150,285,336,51,17.894736842105264,2011,Census of India - Population Census 2011,PULANA CHAK BHYUDAR
SETTLEMENT_40815,Toli Laga Chiae,5,57,284,40815,0,VILLAGE,Rural,11,11,45,31,14,45,53,8,17.77777777777778,2011,Census of India - Population Census 2011,TOLI LAGA CHIAE
SETTLEMENT_40816,Chaien,5,57,284,40816,0,VILLAGE,Rural,118,118,516,276,240,516,608,92,17.829457364341085,2011,Census of India - Population Census 2011,CHAIEN
SETTLEMENT_40817,Urgam,5,57,284,40817,0,VILLAGE,Rural,313,313,1549,778,771,1549,1825,276,17.817947062621045,2011,Census of India - Population Census 2011,URGAM
SETTLEMENT_40818,Bharkichak-Urgam,5,57,284,40818,0,VILLAGE,Rural,26,26,133,72,61,133,157,24,18.045112781954884,2011,Census of India - Population Census 2011,BHARKICHAK-URGAM
SETTLEMENT_40819,Bheta Chak Urgam,5,57,284,40819,0,VILLAGE,Rural,67,67,346,183,163,346,408,62,17.91907514450867,2011,Census of India - Population Census 2011,BHETA CHAK URGAM
SETTLEMENT_40820,Lyari Thana,5,57,284,40820,0,VILLAGE,Rural,55,55,237,130,107,237,279,42,17.72151898734177,2011,Census of India - Population Census 2011,LYARI THANA
SETTLEMENT_40821,Salna Chak Urgam,5,57,284,40821,0,VILLAGE,Rural,31,31,128,69,59,128,151,23,17.96875,2011,Census of India - Population Census 2011,SALNA CHAK URGAM
SETTLEMENT_40822,Hailang,5,57,284,40822,0,VILLAGE,Rural,121,121,528,307,221,528,622,94,17.803030303030305,2011,Census of India - Population Census 2011,HAILANG
SETTLEMENT_40823,Paini,5,57,284,40823,0,VILLAGE,Rural,153,153,664,369,295,664,782,118,17.771084337349397,2011,Census of India - Population Census 2011,PAINI
SETTLEMENT_40824,Sailang,5,57,284,40824,0,VILLAGE,Rural,150,150,761,416,345,761,897,136,17.871222076215506,2011,Census of India - Population Census 2011,SAILANG
SETTLEMENT_40825,Gaunkh Laga Sailang,5,57,284,40825,0,VILLAGE,Rural,8,8,15,10,5,15,18,3,20.0,2011,Census of India - Population Census 2011,GAUNKH LAGA SAILANG
SETTLEMENT_40826,Auli Laga Joshimath,5,57,284,40826,0,VILLAGE,Rural,36,36,299,254,45,299,352,53,17.725752508361204,2011,Census of India - Population Census 2011,AULI LAGA JOSHIMATH
SETTLEMENT_40827,Auli Laga Salud Dugra,5,57,284,40827,0,VILLAGE,Rural,1,1,2,2,0,2,2,0,0.0,2011,Census of India - Population Census 2011,AULI LAGA SALUD DUGRA
