source_settlement_id,source_settlement,source_district,source_population,relocation_demand,site_id,site_name,site_village,site_district,allocated_people,site_capacity_before,site_capacity_after,safe_site_score,accessibility_score,infrastructure_score,distance_km,distance_score,relocation_score,allocation_status,unallocated_reason
SETTLEMENT_800291,Joshimath  (NPP),57,19689,19689,5582604,Educational Facility,Pandukaswar,CHAMOLI,100,100.0,0.0,71.23,100.0,80.0,8.86,74.27,63.76,ALLOCATED,
SETTLEMENT_800291,Joshimath  (NPP),57,19689,19689,5466335,Educational Facility,Chaien,CHAMOLI,37,37.0,0.0,68.18,100.0,100.0,2.863,100.0,63.05,ALLOCATED,
SETTLEMENT_800291,Joshimath  (NPP),57,19689,19689,6207244,Educational Facility,Sailang,CHAMOLI,37,37.0,0.0,66.1,100.0,93.33,3.922,100.0,61.55,ALLOCATED,
SETTLEMENT_800291,Joshimath  (NPP),57,19689,19689,2583233,Educational Facility,Paini,CHAMOLI,37,37.0,0.0,66.1,100.0,93.33,5.138,99.08,61.46,ALLOCATED,
SETTLEMENT_800291,Joshimath  (NPP),57,19689,19689,3856092,Educational Facility,Bara Gaon,CHAMOLI,62,62.0,0.0,66.72,100.0,73.33,5.051,99.66,61.38,ALLOCATED,
SETTLEMENT_800291,Joshimath  (NPP),57,19689,19689,9122080,Educational Facility,Raigari,CHAMOLI,75,75.0,0.0,69.86,100.0,80.0,9.698,68.68,61.04,ALLOCATED,
SETTLEMENT_800291,Joshimath  (NPP),57,19689,19689,1022466,Educational Facility,Dhak,CHAMOLI,25,25.0,0.0,67.12,100.0,100.0,7.66,82.27,60.07,ALLOCATED,
SETTLEMENT_800291,Joshimath  (NPP),57,19689,19689,9859864,Educational Facility,Bara Gaon,CHAMOLI,75,75.0,0.0,63.61,100.0,60.0,5.051,99.66,59.64,ALLOCATED,
SETTLEMENT_800291,Joshimath  (NPP),57,19689,19689,6630117,Educational Facility,Pandukaswar,CHAMOLI,25,25.0,0.0,67.12,100.0,100.0,8.86,74.27,59.27,ALLOCATED,
SETTLEMENT_800291,Joshimath  (NPP),57,19689,19689,6190652,Educational Facility,Bara Gaon,CHAMOLI,25,25.0,0.0,65.62,100.0,80.0,5.051,99.66,59.21,ALLOCATED,
