source_settlement_id,source_settlement,source_population,source_district,recommendation_rank,site_id,site_name,site_village,site_district,ai_relocation_score,safe_site_score,site_capacity,distance_km,distance_score,accessibility_score,infrastructure_score,remaining_capacity,recommendation_status,reason
SETTLEMENT_40808,Mana,1430,57,1,5582604,Educational Facility,Pandukaswar,CHAMOLI,70.893,71.23,100.0,39.366,0.0,100.0,85.0,100.0,PRIMARY,AI ranked safe-site candidate
SETTLEMENT_40808,Mana,1430,57,2,9122080,Educational Facility,Raigari,CHAMOLI,65.696,69.86,75.0,57.708,0.0,100.0,90.0,75.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40808,Mana,1430,57,3,7073310,Educational Facility,Pakhi,CHAMOLI,64.162,69.24,50.0,55.891,0.0,100.0,100.0,50.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40808,Mana,1430,57,4,9859864,Educational Facility,Bara Gaon,CHAMOLI,60.443,63.61,75.0,52.775,0.0,100.0,75.0,75.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40808,Mana,1430,57,5,4283719,Educational Facility,Urgam,CHAMOLI,60.298,53.86,125.0,47.684,0.0,40.0,75.0,125.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40809,Khiron,106,57,1,5582604,Educational Facility,Pandukaswar,CHAMOLI,78.261,71.23,100.0,8.616,75.892,100.0,85.0,100.0,PRIMARY,AI ranked safe-site candidate
SETTLEMENT_40809,Khiron,106,57,2,6188919,Educational Facility,Pandukaswar,CHAMOLI,66.488,63.47,62.0,8.616,75.892,100.0,90.0,62.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40809,Khiron,106,57,3,9122080,Educational Facility,Raigari,CHAMOLI,65.341,69.86,75.0,26.277,0.0,100.0,90.0,75.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40809,Khiron,106,57,4,7073310,Educational Facility,Pakhi,CHAMOLI,63.864,69.24,50.0,24.701,0.0,100.0,100.0,50.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40809,Khiron,106,57,5,4283719,Educational Facility,Urgam,CHAMOLI,62.342,53.86,125.0,16.435,23.766,40.0,75.0,125.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40810,Thaing,950,57,1,5582604,Educational Facility,Pandukaswar,CHAMOLI,78.034,71.23,100.0,8.302,77.985,100.0,85.0,100.0,PRIMARY,AI ranked safe-site candidate
SETTLEMENT_40810,Thaing,950,57,2,4283719,Educational Facility,Urgam,CHAMOLI,69.377,53.86,125.0,5.874,94.171,40.0,75.0,125.0,ALTERNATIVE,AI ranked safe-site candidate
