settlement_id,settlement_name,population,relocation_demand,source_settlement_id,people_allocated,destination_sites,average_distance_km,average_relocation_score,people_unallocated,allocation_rate_pct,relocation_status
SETTLEMENT_800291,Joshimath  (NPP),19689,19689,SETTLEMENT_800291,2727,74,12.653,48.81,16962,13.850373304891056,PARTIALLY_ALLOCATED
SETTLEMENT_800290,Badrinathpuri (NP),2873,2873,,0,0,,,2873,0.0,NOT_ALLOCATED
SETTLEMENT_40892,Malari,2278,2278,,0,0,,,2278,0.0,NOT_ALLOCATED
SETTLEMENT_40828,Salud Dugra,1865,1865,,0,0,,,1865,0.0,NOT_ALLOCATED
SETTLEMENT_40817,Urgam,1825,1825,,0,0,,,1825,0.0,NOT_ALLOCATED
SETTLEMENT_40813,Pandukaswar,1645,1645,,0,0,,,1645,0.0,NOT_ALLOCATED
SETTLEMENT_40808,Mana,1430,1430,,0,0,,,1430,0.0,NOT_ALLOCATED
SETTLEMENT_40873,Topovan,1254,1254,,0,0,,,1254,0.0,NOT_ALLOCATED
SETTLEMENT_40810,Thaing,950,950,,0,0,,,950,0.0,NOT_ALLOCATED
SETTLEMENT_40864,Bara gaon,933,933,,0,0,,,933,0.0,NOT_ALLOCATED
SETTLEMENT_40824,Sailang,897,897,,0,0,,,897,0.0,NOT_ALLOCATED
SETTLEMENT_40823,Paini,782,782,,0,0,,,782,0.0,NOT_ALLOCATED
SETTLEMENT_40811,Arurhi Paturi,718,718,,0,0,,,718,0.0,NOT_ALLOCATED
SETTLEMENT_40884,Subhai,670,670,,0,0,,,670,0.0,NOT_ALLOCATED
SETTLEMENT_40822,Hailang,622,622,,0,0,,,622,0.0,NOT_ALLOCATED
SETTLEMENT_40816,Chaien,608,608,,0,0,,,608,0.0,NOT_ALLOCATED
SETTLEMENT_40863,Merag,531,531,,0,0,,,531,0.0,NOT_ALLOCATED
SETTLEMENT_40851,Ganai,530,530,,0,0,,,530,0.0,NOT_ALLOCATED
SETTLEMENT_40834,Kimana,530,530,,0,0,,,530,0.0,NOT_ALLOCATED
SETTLEMENT_40850,Molta,521,521,,0,0,,,521,0.0,NOT_ALLOCATED
SETTLEMENT_40856,Tolma,506,506,,0,0,,,506,0.0,NOT_ALLOCATED
SETTLEMENT_40876,Karachhon,506,506,,0,0,,,506,0.0,NOT_ALLOCATED
SETTLEMENT_40866,Dhak,497,497,,0,0,,,497,0.0,NOT_ALLOCATED
SETTLEMENT_40841,Langsi,465,465,,0,0,,,465,0.0,NOT_ALLOCATED
SETTLEMENT_40849,Pagnau,460,460,,0,0,,,460,0.0,NOT_ALLOCATED
SETTLEMENT_40888,Gamsali,451,451,,0,0,,,451,0.0,NOT_ALLOCATED
SETTLEMENT_40832,Palla,435,435,,0,0,,,435,0.0,NOT_ALLOCATED
SETTLEMENT_40845,Pakhi,430,430,,0,0,,,430,0.0,NOT_ALLOCATED
SETTLEMENT_40844,Jalgwar,424,424,,0,0,,,424,0.0,NOT_ALLOCATED
SETTLEMENT_40840,Gulabkoti,419,419,,0,0,,,419,0.0,NOT_ALLOCATED
SETTLEMENT_40830,Kalgoth,418,418,,0,0,,,418,0.0,NOT_ALLOCATED
SETTLEMENT_40819,Bheta Chak Urgam,408,408,,0,0,,,408,0.0,NOT_ALLOCATED
SETTLEMENT_40870,Karchi,386,386,,0,0,,,386,0.0,NOT_ALLOCATED
