site_id,site_name,site_cluster,village_name,urban_local_body_name,ward_name,block_name,district_name,matched_settlement_id,matched_address,latitude,longitude,coordinate_confidence,coordinate_match_method,school_category_code,school_type_code,total_classrooms,good_classrooms,minor_repair_classrooms,major_repair_classrooms,normal_classroom_capacity,temporary_capacity,available_capacity,building_score,road_score,water_score,electricity_score,land_score,boundary_wall_score,safety_score,accessibility_score,capacity_score,infrastructure_score,facility_suitability_score,safe_site_score,nearest_settlement_id,nearest_settlement_name,nearest_settlement_distance_km,site_status
4086306,Educational Facility,Majyu Lagga Bemru,Majyu Lagga Bemru,,,Dasholi,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,1,3,2,2,0,0,50,25.0,25,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,6.061,90.0,76.515,65.62,,,,MEDIUM_SUITABILITY
9202177,Educational Facility,Kolson,Kolson,,,Karnaprayag,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,1,3,3,2,1,0,50,25.0,25,66.667,100.0,100.0,100.0,0.0,100.0,100.0,100.0,6.061,85.0,66.515,60.87,,,,MEDIUM_SUITABILITY
6628377,Educational Facility,Panchali,Panchali,,,Gairsain,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,1,3,2,2,0,0,50,25.0,25,100.0,0.0,100.0,100.0,0.0,0.0,100.0,40.0,6.061,75.0,61.515,45.37,,,,LOW_SUITABILITY
1780963,Educational Facility,Kot,Kot,,,Narayanbagar,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,1,3,2,2,0,0,50,25.0,25,100.0,0.0,100.0,100.0,100.0,100.0,100.0,40.0,6.061,100.0,61.515,49.12,,,,LOW_SUITABILITY
5829185,Educational Facility,Sidoli,Sidoli,,,Karnaprayag,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,1,3,5,5,0,0,125,62.5,62,100.0,0.0,100.0,100.0,100.0,100.0,33.333,40.0,15.152,90.0,57.121,48.14,,,,LOW_SUITABILITY
5188887,Educational Facility,Manakhi,Manakhi,,,Ghat,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,1,3,2,2,0,0,50,25.0,25,100.0,0.0,100.0,100.0,100.0,0.0,100.0,40.0,6.061,90.0,61.515,47.62,,,,LOW_SUITABILITY
4325108,Educational Facility,Bingar,Bingar,,,Pokhari,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,1,3,2,2,0,0,50,25.0,25,100.0,0.0,100.0,100.0,0.0,0.0,100.0,40.0,6.061,75.0,61.515,45.37,,,,LOW_SUITABILITY
3090189,Educational Facility,Bhatmwali,Bhatmwali,,,Gairsain,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,5,3,6,6,0,0,150,75.0,75,100.0,0.0,100.0,100.0,100.0,100.0,100.0,40.0,18.182,100.0,64.545,53.36,,,,MEDIUM_SUITABILITY
9853968,Educational Facility,Topovan,Topovan,,,Joshimath,CHAMOLI,SETTLEMENT_40873,Topovan,30.4861,79.4639,MEDIUM,VILLAGE_NAME,1,3,2,2,0,0,50,25.0,25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,6.061,100.0,76.515,67.12,SETTLEMENT_40873,Topovan,0.0,MEDIUM_SUITABILITY
7835805,Educational Facility,Kumjug,Kumjug,,,Ghat,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,7,3,5,2,3,0,50,25.0,25,40.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,6.061,90.0,58.515,58.42,,,,MEDIUM_SUITABILITY
6410195,Educational Facility,Kwithi,Kwithi,,,Pokhari,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,1,3,2,2,0,0,50,25.0,25,100.0,0.0,100.0,100.0,0.0,0.0,100.0,40.0,6.061,75.0,61.515,45.37,,,,LOW_SUITABILITY
8856964,Educational Facility,Padmalla,Padmalla,,,Dewal,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,1,3,3,3,0,0,75,37.5,38,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,9.091,100.0,77.273,68.18,,,,MEDIUM_SUITABILITY
9012679,Educational Facility,Kurad,Kurad,,,Tharali,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,1,3,3,3,0,0,75,37.5,38,100.0,100.0,100.0,100.0,0.0,100.0,66.667,100.0,9.091,80.0,73.939,63.85,,,,MEDIUM_SUITABILITY
9815463,Educational Facility,Gawar,Gawar,,,Dasholi,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,1,3,3,3,0,0,75,37.5,38,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,9.091,75.0,77.273,64.43,,,,MEDIUM_SUITABILITY
1009881,Educational Facility,Ghes,Ghes,,,Dewal,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,1,3,2,2,0,0,50,25.0,25,100.0,0.0,100.0,100.0,100.0,100.0,100.0,40.0,6.061,100.0,61.515,49.12,,,,LOW_SUITABILITY
1822939,Educational Facility,Torati,Torati,,,Dewal,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,1,3,2,2,0,0,50,25.0,25,100.0,0.0,100.0,100.0,100.0,0.0,100.0,40.0,6.061,90.0,61.515,47.62,,,,LOW_SUITABILITY
