settlement_id,settlement_name,latitude,longitude,coordinate_source,coordinate_confidence,matched_address,geocoding_query,verification_status,verification_reason
SETTLEMENT_40808,Mana,30.9671228,79.4109692,OpenStreetMap Nominatim,MEDIUM,"Mana, Joshimath Tehsil, Chamoli, Uttarakhand, India","Mana, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli
SETTLEMENT_40809,Khiron,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40810,Thaing,30.5667243,79.5096105,OpenStreetMap Nominatim,MEDIUM,"Thaing, Joshimath Tehsil, Chamoli, Uttarakhand, India","Thaing, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli
SETTLEMENT_40811,Arurhi Paturi,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40812,Bhyudar,30.674709,79.5913479,OpenStreetMap Nominatim,MEDIUM,"Bhyudar, Joshimath Tehsil, Chamoli, Uttarakhand, India","Bhyudar, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli
SETTLEMENT_40813,Pandukaswar,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40814,Pulana Chak Bhyudar,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40815,Toli Laga Chiae,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40816,Chaien,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40817,Urgam,30.5400882,79.4566318,OpenStreetMap Nominatim,MEDIUM,"Urgam, Joshimath Tehsil, Chamoli, Uttarakhand, India","Urgam, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli
SETTLEMENT_40818,Bharkichak-Urgam,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40819,Bheta Chak Urgam,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40820,Lyari Thana,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40821,Salna Chak Urgam,,,MISSING,MISSING,,,MISSING,No coordinates available
