settlement_id,settlement_name,latitude,longitude,coordinate_source,coordinate_confidence,matched_address,geocoding_query,verification_status,verification_reason,census_code,resolution_query,resolution_status,coordinate_status
SETTLEMENT_40808,Mana,30.9671228,79.4109692,OpenStreetMap Nominatim,MEDIUM,"Mana, Joshimath Tehsil, Chamoli, Uttarakhand, India","Mana, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli,40808,,,RESOLVED
SETTLEMENT_40809,Khiron,30.686187,79.482644,PaintMaps Chamoli map,MEDIUM,,,MISSING,No coordinates available,40809,,WEB_RESEARCHED,RESOLVED
SETTLEMENT_40810,Thaing,30.5667243,79.5096105,OpenStreetMap Nominatim,MEDIUM,"Thaing, Joshimath Tehsil, Chamoli, Uttarakhand, India","Thaing, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli,40810,,,RESOLVED
SETTLEMENT_40811,Arurhi Paturi,30.648057,79.532948,PaintMaps Chamoli map,MEDIUM,,,MISSING,No coordinates available,40811,,WEB_RESEARCHED,RESOLVED
SETTLEMENT_40812,Bhyudar,30.674709,79.5913479,OpenStreetMap Nominatim,MEDIUM,"Bhyudar, Joshimath Tehsil, Chamoli, Uttarakhand, India","Bhyudar, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli,40812,,,RESOLVED
SETTLEMENT_40813,Pandukaswar,30.633418,79.548607,PaintMaps Chamoli map,MEDIUM,,,MISSING,No coordinates available,40813,,WEB_RESEARCHED,RESOLVED
SETTLEMENT_40814,Pulana Chak Bhyudar,30.634643,79.572274,PaintMaps Chamoli map,MEDIUM,,,MISSING,No coordinates available,40814,,WEB_RESEARCHED,RESOLVED
SETTLEMENT_40815,Toli Laga Chiae,30.584483,79.546531,PaintMaps Chamoli map; matched spelling Toli Laga Chaie,MEDIUM,,,MISSING,No coordinates available,40815,,WEB_RESEARCHED,RESOLVED
SETTLEMENT_40816,Chaien,30.566174,79.538058,PaintMaps Chamoli map,MEDIUM,,,MISSING,No coordinates available,40816,,WEB_RESEARCHED,RESOLVED
SETTLEMENT_40817,Urgam,30.5400882,79.4566318,OpenStreetMap Nominatim,MEDIUM,"Urgam, Joshimath Tehsil, Chamoli, Uttarakhand, India","Urgam, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli,40817,,,RESOLVED
SETTLEMENT_40818,Bharkichak-Urgam,30.548262,79.462068,PaintMaps Chamoli map; matched spelling Bharki Chak Urgam,MEDIUM,,,MISSING,No coordinates available,40818,,WEB_RESEARCHED,RESOLVED
SETTLEMENT_40819,Bheta Chak Urgam,30.540621,79.469825,PaintMaps Chamoli map,MEDIUM,,,MISSING,No coordinates available,40819,,WEB_RESEARCHED,RESOLVED
SETTLEMENT_40820,Lyari Thana,30.529839,79.471426,PaintMaps Chamoli map,MEDIUM,,,MISSING,No coordinates available,40820,,WEB_RESEARCHED,RESOLVED
SETTLEMENT_40821,Salna Chak Urgam,30.530055,79.492736,PaintMaps Chamoli map,MEDIUM,,,MISSING,No coordinates available,40821,,WEB_RESEARCHED,RESOLVED
SETTLEMENT_40822,Hailang,30.525162,79.500225,PaintMaps Chamoli map,MEDIUM,,,MISSING,No coordinates available,40822,,WEB_RESEARCHED,RESOLVED
SETTLEMENT_40823,Paini,30.528091,79.521383,PaintMaps Chamoli map; Joshimath-area occurrence,MEDIUM,,"Paini, Chamoli, Uttarakhand, India",MISSING,Returned address contains outside-area location: pokhari,40823,,WEB_RESEARCHED,RESOLVED
SETTLEMENT_40824,Sailang,30.539261,79.528345,PaintMaps Chamoli map,MEDIUM,,,MISSING,No coordinates available,40824,,WEB_RESEARCHED,RESOLVED
SETTLEMENT_40825,Gaunkh Laga Sailang,30.545382,79.542532,PaintMaps Chamoli map,MEDIUM,,,MISSING,No coordinates available,40825,,WEB_RESEARCHED,RESOLVED
SETTLEMENT_40826,Auli Laga Joshimath,30.532778,79.568611,Wikidata/Census-linked Auli coordinate,MEDIUM,,,MISSING,No coordinates available,40826,,WEB_RESEARCHED,RESOLVED
SETTLEMENT_40827,Auli Laga Salud Dugra,30.525709,79.569699,PaintMaps Chamoli map,MEDIUM,,,MISSING,No coordinates available,40827,,WEB_RESEARCHED,RESOLVED
SETTLEMENT_40828,Salud Dugra,30.510883,79.523146,PaintMaps Chamoli map,MEDIUM,,,MISSING,No coordinates available,40828,,WEB_RESEARCHED,RESOLVED
SETTLEMENT_40829,Dumak,30.5072396,79.3831468,OpenStreetMap Nominatim,MEDIUM,"Dumak, Joshimath Tehsil, Chamoli, Uttarakhand, India","Dumak, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli,40829,,,RESOLVED
SETTLEMENT_40830,Kalgoth,30.516532,79.415042,OpenStreetMap Nominatim,MEDIUM,"Kalgoth, Joshimath Tehsil, Chamoli, Uttarakhand, India","Kalgoth, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli,40830,,,RESOLVED
SETTLEMENT_40831,Uchougaur,30.503089,79.431598,PaintMaps Chamoli map,MEDIUM,,,MISSING,No coordinates available,40831,,WEB_RESEARCHED,RESOLVED
SETTLEMENT_40832,Palla,30.5122953,79.4720821,OpenStreetMap Nominatim,MEDIUM,"Palla, Kimana, Joshimath Tehsil, Chamoli, Uttarakhand, India","Palla, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli,40832,,,RESOLVED
SETTLEMENT_40833,Jakhola,30.507425,79.460068,PaintMaps Chamoli map,MEDIUM,,"Jakhola, Uttarakhand, India",MISSING,Coordinates fall outside the expected Joshimath/Chamoli region,40833,,WEB_RESEARCHED,RESOLVED
SETTLEMENT_40834,Kimana,30.4978872,79.4523689,OpenStreetMap Nominatim,MEDIUM,"Kimana, Joshimath Tehsil, Chamoli, Uttarakhand, 246472, India","Kimana, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli,40834,,,RESOLVED
SETTLEMENT_40835,Pokhani Urf Pokhari,30.476002,79.433276,PaintMaps Chamoli map,MEDIUM,,,MISSING,No coordinates available,40835,,WEB_RESEARCHED,RESOLVED
SETTLEMENT_40836,Lanji,30.480797,79.4483104,OpenStreetMap Nominatim,MEDIUM,"Lanji, Garurganga, Joshimath Tehsil, Chamoli, Uttarakhand, 246472, India","Lanji, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli,40836,,,RESOLVED
SETTLEMENT_40837,Tirosi,30.4767634,79.4639175,OpenStreetMap Nominatim,MEDIUM,"SubCentre, Tirosi, NH7, Tangi Talli, Langsi, Chamoli, Uttarakhand, 246472, India","Tirosi, Joshimath, Chamoli, Uttarakhand, India",REVIEW,"Chamoli/Uttarakhand match, but Joshimath not explicitly confirmed",40837,,,RESOLVED
SETTLEMENT_40838,Dwing,30.4886522,79.4620501,OpenStreetMap Nominatim,MEDIUM,"Dwing, Kimana, Joshimath Tehsil, Chamoli, Uttarakhand, 246472, India","Dwing, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli,40838,,,RESOLVED
SETTLEMENT_40839,Tapon,30.494761,79.473569,PaintMaps Chamoli map,MEDIUM,,,MISSING,No coordinates available,40839,,WEB_RESEARCHED,RESOLVED
SETTLEMENT_40840,Gulabkoti,30.5046348,79.4916067,OpenStreetMap Nominatim,MEDIUM,"Gulabkoti, Pagnau, Joshimath Tehsil, Chamoli, Uttarakhand, 246472, India","Gulabkoti, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli,40840,,,RESOLVED
SETTLEMENT_40841,Langsi,30.4933697,79.4792409,OpenStreetMap Nominatim,MEDIUM,"Langsi, Joshimath Tehsil, Chamoli, Uttarakhand, 246472, India","Langsi, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli,40841,,,RESOLVED
SETTLEMENT_40842,Tangni talli,30.477567,79.463872,PaintMaps Chamoli map,MEDIUM,,,MISSING,No coordinates available,40842,,WEB_RESEARCHED,RESOLVED
SETTLEMENT_40843,Tangni malli,30.476768,79.472709,PaintMaps Chamoli map,MEDIUM,,,MISSING,No coordinates available,40843,,WEB_RESEARCHED,RESOLVED
SETTLEMENT_40844,Jalgwar,30.465385,79.451459,PaintMaps Chamoli map,MEDIUM,,,MISSING,No coordinates available,40844,,WEB_RESEARCHED,RESOLVED
SETTLEMENT_40845,Pakhi,30.4656853,79.4513854,OpenStreetMap Nominatim,MEDIUM,"Pakhi, NH7, Garurganga, Joshimath Tehsil, Chamoli, Uttarakhand, 246472, India","Pakhi, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli,40845,,,RESOLVED
SETTLEMENT_40846,Marwadi Chak Pakhi,30.461114,79.44693,PaintMaps Chamoli map,MEDIUM,,,MISSING,No coordinates available,40846,,WEB_RESEARCHED,RESOLVED
SETTLEMENT_40847,Darmi,30.4620539,79.4908905,OpenStreetMap Nominatim,MEDIUM,"Darmi Ganga, Darni, Ganaj, Joshimath Tehsil, Chamoli, Uttarakhand, India","Darmi, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli,40847,,,RESOLVED
SETTLEMENT_40848,Noligwar,30.480475,79.493199,PaintMaps Chamoli map,MEDIUM,,,MISSING,No coordinates available,40848,,WEB_RESEARCHED,RESOLVED
SETTLEMENT_40849,Pagnau,30.4945351,79.4962988,OpenStreetMap Nominatim,MEDIUM,"Pagnau, Joshimath Tehsil, Chamoli, Uttarakhand, 246472, India","Pagnau, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli,40849,,,RESOLVED
SETTLEMENT_40850,Molta,30.4831116,79.5207657,OpenStreetMap Nominatim,MEDIUM,"Molta, Joshimath Tehsil, Chamoli, Uttarakhand, India","Molta, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli,40850,,,RESOLVED
SETTLEMENT_40851,Ganai,30.4729745,79.5020465,OpenStreetMap Nominatim,MEDIUM,"SubCentre, Ganai, NH7, Lapon, Langsi, Chamoli, Uttarakhand, 246472, India","Ganai, Joshimath, Chamoli, Uttarakhand, India",REVIEW,"Chamoli/Uttarakhand match, but Joshimath not explicitly confirmed",40851,,,RESOLVED
SETTLEMENT_40852,Bhalgaon,30.519004,79.732875,PaintMaps Chamoli map,MEDIUM,,"Bhalgaon, Uttarakhand, India",MISSING,Coordinates fall outside the expected Joshimath/Chamoli region,40852,,WEB_RESEARCHED,RESOLVED
SETTLEMENT_40853,Longsagari,30.596568,79.785626,PaintMaps Chamoli map,MEDIUM,,,MISSING,No coordinates available,40853,,WEB_RESEARCHED,RESOLVED
SETTLEMENT_40854,Fagti,30.55631,79.775609,PaintMaps Chamoli map,MEDIUM,,,MISSING,No coordinates available,40854,,WEB_RESEARCHED,RESOLVED
SETTLEMENT_40855,Pagrasu,30.550788,79.754937,PaintMaps Chamoli map,MEDIUM,,,MISSING,No coordinates available,40855,,WEB_RESEARCHED,RESOLVED
SETTLEMENT_40856,Tolma,30.5239133,79.752224,OpenStreetMap Nominatim,MEDIUM,"Tolma, Suraithota, Joshimath Tehsil, Chamoli, Uttarakhand, India","Tolma, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli,40856,,,RESOLVED
SETTLEMENT_40857,Sukhi,30.520034,79.728758,PaintMaps Chamoli map,MEDIUM,,"Sukhi, Uttarakhand, India",MISSING,Coordinates fall outside the expected Joshimath/Chamoli region,40857,,WEB_RESEARCHED,RESOLVED
SETTLEMENT_40858,Kuraipani,30.5147004,79.7203934,OpenStreetMap Nominatim,MEDIUM,"Kuraipani, Balgaon, Joshimath Tehsil, Chamoli, Uttarakhand, India","Kuraipani, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli,40858,,,RESOLVED
SETTLEMENT_40859,Aira,30.5416843,79.6190808,OpenStreetMap Nominatim,MEDIUM,"Aira, Joshimath Tehsil, Chamoli, Uttarakhand, 246443, India","Aira, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli,40859,,,RESOLVED
SETTLEMENT_40860,Inara,,,NO_VERIFIED_COORDINATE,UNRESOLVED,,,MISSING,No coordinates available,40860,,UNRESOLVED,UNRESOLVED
SETTLEMENT_40861,Khancha talla,30.536987,79.597058,PaintMaps Chamoli map,MEDIUM,,,MISSING,No coordinates available,40861,,WEB_RESEARCHED,RESOLVED
SETTLEMENT_40862,Khancha malla,30.53591,79.593152,PaintMaps Chamoli map,MEDIUM,,,MISSING,No coordinates available,40862,,WEB_RESEARCHED,RESOLVED
SETTLEMENT_40863,Merag,30.528207,79.596253,PaintMaps Chamoli map; matched alias Mirag/Merag,MEDIUM,,,MISSING,No coordinates available,40863,,WEB_RESEARCHED,RESOLVED
SETTLEMENT_40864,Bara gaon,30.521287,79.600341,PaintMaps Chamoli map,MEDIUM,,,MISSING,No coordinates available,40864,,WEB_RESEARCHED,RESOLVED
SETTLEMENT_40865,Payya chormi,30.517371,79.608799,PaintMaps Chamoli map,MEDIUM,,,MISSING,No coordinates available,40865,,WEB_RESEARCHED,RESOLVED
SETTLEMENT_40866,Dhak,30.498861,79.6113429,OpenStreetMap Nominatim,MEDIUM,"Dhak, Joshimath Tehsil, Chamoli, Uttarakhand, India","Dhak, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli,40866,,,RESOLVED
SETTLEMENT_40867,Kundikhola,30.499528,79.609174,PaintMaps Chamoli map,MEDIUM,,,MISSING,No coordinates available,40867,,WEB_RESEARCHED,RESOLVED
SETTLEMENT_40868,Tugasi,30.4822562,79.5981038,OpenStreetMap Nominatim,MEDIUM,"Tugasi, Joshimath Tehsil, Chamoli, Uttarakhand, India","Tugasi, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli,40868,,,RESOLVED
SETTLEMENT_40869,Raigari,30.477774,79.612045,PaintMaps Chamoli map,MEDIUM,,,MISSING,No coordinates available,40869,,WEB_RESEARCHED,RESOLVED
SETTLEMENT_40870,Karchi,30.4830375,79.6077382,OpenStreetMap Nominatim,MEDIUM,"Karchi, Joshimath Tehsil, Chamoli, Uttarakhand, India","Karchi, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli,40870,,,RESOLVED
SETTLEMENT_40871,Bilagar,30.495604,79.61983,PaintMaps Chamoli map,MEDIUM,,,MISSING,No coordinates available,40871,,WEB_RESEARCHED,RESOLVED
SETTLEMENT_40872,Chamtoli,30.5001965,79.6167121,OpenStreetMap Nominatim,MEDIUM,"Chamtoli, Joshimath Tehsil, Chamoli, Uttarakhand, India","Chamtoli, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli,40872,,,RESOLVED
SETTLEMENT_40873,Topovan,30.4861,79.4639,IIT Roorkee river-gauging station named Topovan; proxy only,LOW_PROXY,,,MISSING,No coordinates available,40873,,WEB_RESEARCHED,RESOLVED
SETTLEMENT_40874,Gahar,30.501148,79.625009,PaintMaps Chamoli map,MEDIUM,,"Gahar, Uttarakhand, India",MISSING,Coordinates fall outside the expected Joshimath/Chamoli region,40874,,WEB_RESEARCHED,RESOLVED
