settlement_id,settlement_name,population,population_2011,latitude,longitude,coordinate_source,coordinate_confidence,coordinate_status,nearest_dem_terrain_hazard_score,nearest_dem_distance_km,nearest_event_id,nearest_event_station,nearest_event_time,nearest_event_distance_km,nearest_event_hazard_score,nearest_event_hazard_level,event_distance_factor,terrain_component,event_component,hazard_exposure_score,hazard_exposure_level,population_exposure_score,settlement_exposure_score,settlement_exposure_level,spatial_status,exposure_status,recommended_action,STATE,DISTRICT,SUBDISTT,TOWN/VILLAGE,WARD,LEVEL,settlement_type,NO_HH,households,TOT_P,TOT_M,TOT_F,population_growth,population_growth_pct,POPULATION_YEAR,SOURCE,NAME_CLEAN
SETTLEMENT_40808,Mana,1430,1214,30.9671,79.411,OpenStreetMap Nominatim,MEDIUM,RESOLVED,57.76,18.6246,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,35.1307,0.0,HIGH,0.0,23.104,0.0,57.76,MODERATE,7.2629,42.6109,MODERATE,COORDINATES_AVAILABLE,TERRAIN_ONLY,Enhanced monitoring and preparedness,5,57,284,40808,0,VILLAGE,Rural,558,558,1214,731,483,216,17.792421746293247,2011,Census of India - Population Census 2011,MANA
SETTLEMENT_40809,Khiron,106,90,30.6862,79.4826,PaintMaps Chamoli map,MEDIUM,RESOLVED,37.18,0.0132,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,4.0999,68.7402,HIGH,0.836,14.872,41.2441,56.1161,MODERATE,0.5384,39.4428,LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Routine monitoring,5,57,284,40809,0,VILLAGE,Rural,30,30,90,47,43,16,17.77777777777778,2011,Census of India - Population Census 2011,KHIRON
SETTLEMENT_40810,Thaing,950,806,30.5667,79.5096,OpenStreetMap Nominatim,MEDIUM,RESOLVED,27.97,0.012,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,10.923,46.2989,HIGH,0.5631,11.188,27.7794,38.9674,LOW,4.825,28.7247,LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Routine monitoring,5,57,284,40810,0,VILLAGE,Rural,165,165,806,405,401,144,17.866004962779154,2011,Census of India - Population Census 2011,THAING
SETTLEMENT_40811,Arurhi Paturi,718,609,30.6481,79.5329,PaintMaps Chamoli map,MEDIUM,RESOLVED,23.16,0.0063,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,2.3701,74.4292,HIGH,0.9052,9.264,44.6575,53.9215,MODERATE,3.6467,38.8391,LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Routine monitoring,5,57,284,40811,0,VILLAGE,Rural,132,132,609,307,302,109,17.898193760262725,2011,Census of India - Population Census 2011,ARURHI PATURI
SETTLEMENT_40812,Bhyudar,72,61,30.6747,79.5913,OpenStreetMap Nominatim,MEDIUM,RESOLVED,20.08,0.0133,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,7.1497,58.7094,HIGH,0.714,8.032,35.2256,43.2576,MODERATE,0.3657,30.39,LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Routine monitoring,5,57,284,40812,0,VILLAGE,Rural,11,11,61,33,28,11,18.0327868852459,2011,Census of India - Population Census 2011,BHYUDAR
SETTLEMENT_40813,Pandukaswar,1645,1396,30.6334,79.5486,PaintMaps Chamoli map,MEDIUM,RESOLVED,20.58,0.0134,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,4.5795,67.1627,HIGH,0.8168,8.232,40.2976,48.5296,MODERATE,8.3549,36.4772,LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Routine monitoring,5,57,284,40813,0,VILLAGE,Rural,312,312,1396,711,685,249,17.836676217765042,2011,Census of India - Population Census 2011,PANDUKASWAR
SETTLEMENT_40814,Pulana Chak Bhyudar,336,285,30.6346,79.5723,PaintMaps Chamoli map,MEDIUM,RESOLVED,10.09,0.0135,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,6.2162,61.7794,HIGH,0.7514,4.036,37.0676,41.1036,MODERATE,1.7065,29.2845,LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Routine monitoring,5,57,284,40814,0,VILLAGE,Rural,55,55,285,135,150,51,17.894736842105264,2011,Census of India - Population Census 2011,PULANA CHAK BHYUDAR
SETTLEMENT_40815,Toli Laga Chiae,53,45,30.5845,79.5465,PaintMaps Chamoli map; matched spelling Toli Laga Chaie,MEDIUM,RESOLVED,27.55,0.0099,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,9.3446,51.4902,HIGH,0.6262,11.02,30.8941,41.9141,MODERATE,0.2692,29.4206,LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Routine monitoring,5,57,284,40815,0,VILLAGE,Rural,11,11,45,31,14,8,17.77777777777778,2011,Census of India - Population Census 2011,TOLI LAGA CHIAE
SETTLEMENT_40816,Chaien,608,516,30.5662,79.5381,PaintMaps Chamoli map,MEDIUM,RESOLVED,23.01,0.0037,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,11.1333,45.6074,HIGH,0.5547,9.204,27.3644,36.5684,LOW,3.088,26.5243,LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Routine monitoring,5,57,284,40816,0,VILLAGE,Rural,118,118,516,276,240,92,17.829457364341085,2011,Census of India - Population Census 2011,CHAIEN
SETTLEMENT_40817,Urgam,1825,1549,30.5401,79.4566,OpenStreetMap Nominatim,MEDIUM,RESOLVED,33.32,0.0036,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,15.0333,32.7802,HIGH,0.3987,13.328,19.6681,32.9961,LOW,9.2691,25.878,LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Routine monitoring,5,57,284,40817,0,VILLAGE,Rural,313,313,1549,778,771,276,17.817947062621045,2011,Census of India - Population Census 2011,URGAM
