id,type,latitude,longitude,name,amenity,healthcare,highway,bridge,building
227069677,way,30.7452889,79.4918875,,,,service,yes,
227069678,way,30.7444383,79.4917166,,,,service,yes,
227070734,way,30.7409568,79.4927125,,,,track,yes,
227343455,way,30.7525806,79.4986176,,,,trunk,yes,
227466381,way,30.5320657,79.7438932,,,,tertiary,yes,
227466382,way,30.5300734,79.7412623,,,,tertiary,yes,
227672420,way,30.6949981,79.5136283,,,,trunk,yes,
227953654,way,30.664909,79.5173721,,,,trunk,yes,
227960835,way,30.741319,79.4913393,,,,service,yes,
227960836,way,30.7394145,79.4926284,,,,path,yes,
227984996,way,30.770562,79.4942525,,,,path,yes,
227990580,way,30.7430783,79.4909616,,,,service,yes,
227990581,way,30.7433139,79.4904282,,,,service,yes,
229586719,way,30.6250663,79.5578009,Govindghat-Pulna,,,tertiary,yes,
445635164,way,30.5631109,79.5761131,,,,trunk,yes,
449772503,way,30.5259036,79.5021246,,,,unclassified,yes,
603970389,way,30.7698883,79.4952751,,,,path,yes,
636372249,way,30.7773945,79.4925653,,,,trunk,yes,
636372256,way,30.5830104,79.5706124,,,,trunk,yes,
636372258,way,30.5666498,79.5533208,,,,trunk,yes,
683026089,way,30.5167291,79.7356801,,,,footway,yes,
683252029,way,30.585159,79.5451423,,,,tertiary,yes,
683252030,way,30.5687989,79.5501913,,,,unclassified,yes,
683252031,way,30.6344694,79.5459514,,,,trunk,yes,
683268040,way,30.7113358,79.5959802,,,,path,yes,
683268041,way,30.6763362,79.5923868,,,,footway,yes,
683271081,way,30.51506,79.4924757,,,,footway,yes,
683271082,way,30.526301,79.5082402,,,,trunk,yes,
904927105,way,30.5438761,79.5786972,Joshimath-Malari Road,,,tertiary,yes,
905375813,way,30.5083726,79.4915588,,,,trunk,yes,
907813134,way,30.5006147,79.6218414,,,,track,yes,
932201686,way,30.7742852,79.4929732,,,,path,yes,
1149436560,way,30.5208393,79.4182249,,,,path,yes,
1204682319,way,30.677905,79.5926276,,,,footway,yes,
1204789666,way,30.7041451,79.595794,,,,footway,yes,
1205873329,way,30.5315541,79.7405795,Suspension Bridge,,,footway,yes,
1302307360,way,30.6251885,79.5551766,,,,tertiary,yes,
1302307361,way,30.624991,79.5550208,,,,trunk,yes,
1302307367,way,30.6203258,79.5592259,,,,trunk,yes,
1302307380,way,30.6035965,79.5706739,,,,trunk,yes,
1302307383,way,30.5800796,79.5725439,,,,trunk,yes,
1302307385,way,30.5690387,79.5774125,,,,trunk,yes,
1302307387,way,30.5628622,79.5758929,,,,,yes,
1302307389,way,30.551938,79.5396805,,,,trunk,yes,
1307539045,way,30.7268674,79.5943219,,,,path,yes,
1307539046,way,30.7217647,79.5889576,,,,path,yes,
1307539050,way,30.7071257,79.5961281,,,,path,yes,
1307785423,way,30.6995247,79.6154082,,,,footway,yes,
1307785424,way,30.6995742,79.614805,,,,path,yes,
1307785428,way,30.7007581,79.6119264,,,,footway,yes,
