id,type,latitude,longitude,name,amenity,healthcare,highway,bridge,building
37610610,way,30.5572045,79.5574685,,,,unclassified,,
37610612,way,30.5404626,79.5316695,,,,trunk,,
37612844,way,30.5322274,79.5684847,Joshimath - Auli road,,,primary,,
44817250,way,30.6296897,79.5505018,,,,trunk,,
44817255,way,30.7845281,79.4910876,,,,trunk,,
223893506,way,30.8232637,79.4808915,,,,trunk,,
227069672,way,30.7413372,79.4928601,,,,service,,
227069673,way,30.7454373,79.493414,,,,service,,
227069674,way,30.7410281,79.4918026,,,,service,,
227069675,way,30.7452147,79.4953934,,,,service,,
227069676,way,30.7448933,79.4921078,,,,service,,
227069677,way,30.7452889,79.4918875,,,,service,yes,
227069678,way,30.7444383,79.4917166,,,,service,yes,
227069679,way,30.7477799,79.4931298,Matamurti - Satopanth Road,,,service,,
227069680,way,30.7448982,79.4915445,,,,service,,
227069882,way,30.7436365,79.4934188,,,,unclassified,,
227069884,way,30.7465641,79.4959177,,,,service,,
227069888,way,30.74542,79.4936962,,,,service,,
227069890,way,30.7455397,79.4952453,,,,service,,
227069893,way,30.7434838,79.493775,,,,unclassified,,
227070522,way,30.7444088,79.493027,,,,service,,
227070734,way,30.7409568,79.4927125,,,,track,yes,
227070957,way,30.7345945,79.4958362,,,,trunk,,
227070959,way,30.7125527,79.4997326,,,,trunk,,
227073688,way,30.7406772,79.4940239,,,,residential,,
227073698,way,30.7400679,79.4954599,,,,service,,
227073699,way,30.741385,79.4936792,,,,residential,,
227073720,way,30.7369049,79.4951583,,,,footway,,
227073765,way,30.7381062,79.4958757,,,,footway,,
227073939,way,30.7444586,79.4958481,,,,service,,
227073940,way,30.7442001,79.4944029,,,,service,,
227074005,way,30.7434716,79.4926457,,,,service,,
227074006,way,30.7346122,79.4934402,,,,service,,
227074018,way,30.7346405,79.4939818,,,,service,,
227074031,way,30.7337716,79.4968105,,,,service,,
227074245,way,30.7433879,79.4931493,,,,residential,,
227074246,way,30.7445639,79.4924119,,,,residential,,
227122056,way,30.7596631,79.4960253,Matamurti - Satopanth Road,,,unclassified,,
227122057,way,30.7666263,79.4981961,,,,unclassified,,
227140518,way,30.7604322,79.4936605,,,,path,,
227140519,way,30.7605138,79.493526,,,,path,,
227142121,way,30.7694972,79.4948292,,,,footway,,
227142123,way,30.7694651,79.4928438,,,,footway,,
227142124,way,30.7657708,79.4959896,,,,unclassified,,
227142460,way,30.7682225,79.4958901,,,,path,,
227142461,way,30.7686595,79.4949057,,,,path,,
227142462,way,30.767845,79.4964229,,,,path,,
227145064,way,30.7734219,79.4942142,,,,footway,,
227145065,way,30.7649987,79.4977368,,,,unclassified,,
227145066,way,30.7706297,79.4959159,,,,path,,
227145067,way,30.7721729,79.4949467,Saraswati River BhimPul Road,,,path,,
227145068,way,30.7726191,79.4952098,Ganesh Gufa Vyas Gufa Road,,,path,,
227145069,way,30.7715038,79.4954776,,,,path,,
227148459,way,30.7733953,79.4918272,Kuldevi Temple Road,,,path,,
227148460,way,30.7724201,79.4935908,,,,path,,
227148461,way,30.7771191,79.4807957,,,,path,,
227148462,way,30.7744868,79.4929091,,,,path,,
227203604,way,30.7456128,79.4905071,,,,track,,
227203611,way,30.7439847,79.4905514,,,,track,,
227203613,way,30.7449442,79.4902081,,,,track,,
227203614,way,30.7443241,79.4908305,,,,track,,
227203615,way,30.7435124,79.4901294,,,,service,,
