pseudocode,sdmp_plan_yn,struct_safaud_yn,nonstr_safaud_yn,cctv_cam_yn,fire_ext_yn,nodal_tch_yn,safty_trng_yn,dismgmt_taug_yn,slfdef_grt_yn,slfdef_trained,guide_display_yn,tch_first_level_counsellor,safe_sec_audit,teacher_displaying_photo,vidya_pravesh,stu_atndnc_yn,tch_atndnc_yn,sch_youth_club_yn,sch_eco_club_yn,tch_icard_yn,self_cert_obtained_yn
4410844,1,1,1,2,1,1,1,1,1,10,1,2,3,1,1,2,2,1,1,1,1
4086306,1,1,1,2,1,1,1,1,9,0,1,1,4,1,1,2,2,1,1,1,1
9202177,1,1,1,2,1,1,1,1,9,0,1,1,1,1,1,2,2,1,1,1,1
5973404,1,1,1,2,1,1,1,1,9,0,1,1,2,1,1,2,2,1,1,1,1
6628377,1,1,1,2,1,1,2,1,9,0,1,1,3,1,1,2,2,1,1,1,1
1780963,1,1,1,2,1,1,1,1,9,0,1,1,2,1,1,2,2,1,1,1,2
4744953,1,1,1,2,1,1,1,1,2,17,1,1,2,1,1,2,2,1,1,1,1
6566940,1,2,1,2,1,1,1,1,9,0,1,1,1,1,1,2,2,1,1,1,1
5829185,2,2,1,1,1,1,1,1,9,0,1,2,1,1,2,1,1,2,2,1,1
5188887,1,1,1,2,1,1,1,1,9,0,1,1,1,1,1,2,2,1,1,1,1
6881233,1,1,1,2,1,1,1,1,9,0,1,2,6,1,1,2,2,2,1,1,1
7454087,1,1,2,2,1,1,1,1,2,0,1,1,1,1,1,2,2,1,1,1,1
4325108,1,1,1,2,1,1,1,1,9,0,1,1,2,1,1,2,2,2,1,1,1
9657695,1,2,1,2,1,1,1,1,9,0,1,1,1,1,1,2,2,1,1,1,1
3090189,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,2,1,1,1,1
9853968,1,1,1,2,1,1,1,1,9,0,1,2,6,1,1,2,2,1,1,1,1
6514824,1,1,1,2,1,1,1,1,1,17,1,1,4,1,1,2,2,1,1,1,1
7835805,1,1,1,1,1,1,1,1,1,35,1,1,1,1,2,2,2,1,1,1,1
6410195,1,1,1,2,1,1,1,1,9,0,1,2,2,1,1,2,2,2,1,1,1
4252507,1,1,1,2,1,1,1,1,9,0,1,1,2,1,1,2,2,1,1,1,1
5187269,1,1,1,2,1,1,1,1,1,12,1,1,2,1,1,2,2,1,1,1,1
