Data Acquisition Time,_id,SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Telemetry Hourly Rainfall (mm),rainfall_mm_1h,rainfall_mm_6h,rainfall_mm_24h,antecedent_rainfall_mm_15d,rainfall_change_mm,rainfall_rolling_mean_3obs,rainfall_rolling_std_3obs,rainfall_change_abs,anomaly_flag,anomaly_score,anomaly_label
2026-06-21 15:00:00,2368,2368,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,3.0,3.0,,,,,3.0,0.0,0.0,1,-0.07048526128470922,NORMAL
2026-06-21 18:00:00,2369,2369,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,7.5,7.5,,,3.0,4.5,5.25,3.181980515339464,4.5,1,-0.009824412093930812,NORMAL
2026-06-21 19:00:00,2370,2370,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,2.0,2.0,,,10.5,-5.5,4.166666666666667,2.9297326385411577,5.5,1,-0.05044744157021325,NORMAL
2026-06-22 13:00:00,2371,2371,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,1.0,1.0,,,12.5,-1.0,3.5,3.5,1.0,1,-0.08930601590286752,NORMAL
2026-06-22 14:00:00,2372,2372,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,0.5,0.5,,,13.5,-0.5,1.1666666666666667,0.7637626158259734,0.5,1,-0.14726504778587374,NORMAL
2026-06-22 23:00:00,2373,2373,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,0.5,0.5,,,14.0,0.0,0.6666666666666666,0.2886751345948131,0.0,1,-0.16049250148075733,NORMAL
2026-06-23 13:00:00,2374,2374,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,0.5,0.5,,,14.5,0.0,0.5,0.0,0.0,1,-0.1826173722600592,NORMAL
2026-06-23 16:00:00,2375,2375,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,4.5,4.5,,,15.0,4.0,1.8333333333333333,2.309401076758503,4.0,1,-0.06115517126691933,NORMAL
2026-06-24 18:00:00,2376,2376,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,6.0,6.0,,,19.5,1.5,3.6666666666666665,2.8431203515386634,1.5,1,-0.06794332058792618,NORMAL
2026-06-24 19:00:00,2377,2377,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,0.5,0.5,,,25.5,-5.5,3.6666666666666665,2.8431203515386634,5.5,1,-0.06259467997950563,NORMAL
