_id,State,District,Date,Daily Actual,Daily Normal,Daily Departure Per,Daily Category,Week Date,Weekly  Actual,Weekly Normal,Weekly Departure Per,Weekly Category,Cumulative Date,Cumulative Actual,Cumulative Normal,Cumulative Departure Per,Cumulative  Category,Monthly Date,Monthly Actual,Monthly Normal,Monthly  Departure Per,Monthly Category,rainfall_intensity_score,rainfall_departure_score,risk_score,risk_category,anomaly_flag,anomaly_score,anomaly_label,anomaly_severity,forecast_severity,predicted_rainfall_1d,hybrid_hazard_score,hazard_category
19265,UTTARAKHAND,CHAMOLI,2026-08-19,6.3,9.9,-36,D,13-08-2026 To 19-08-2026,6.3,9.9,-36,D,2026-06-01,867.1,543.9,59%,LE,From 01-08-2026 To 19-08-2026,318.0,175.7,81%,LE,10,10,10.0,LOW,1,-0.0,NORMAL,0.0,0,,5.0,LOW
19266,UTTARAKHAND,CHAMOLI,2026-08-20,9.6,7.7,25,E,13-08-2026 To 19-08-2026,123.8,67.3,84,LE,2026-06-01,876.8,551.6,59%,E,From 01-08-2026 To 20-08-2026,327.6,183.4,79%,LE,20,10,16.0,LOW,1,-0.0800167807696344,NORMAL,0.0,0,,8.0,LOW
19267,UTTARAKHAND,CHAMOLI,2026-08-21,11.0,5.6,97,LE,13-08-2026 To 19-08-2026,123.8,67.3,84,LE,2026-06-01,867.1,543.9,59%,LE,From 01-08-2026 To 21-08-2026,338.6,189.0,79%,LE,20,20,20.0,LOW,1,-0.0974062032472603,NORMAL,0.0,0,,10.0,LOW
19268,UTTARAKHAND,CHAMOLI,2026-08-22,2.4,7.9,-69,LD,13-08-2026 To 19-08-2026,123.8,67.3,84,LE,2026-06-01,890.2,565.1,58%,E,From 01-08-2026 To 22-08-2026,341.1,196.9,73%,LE,10,10,10.0,LOW,1,-0.0540607260067877,NORMAL,0.0,0,,5.0,LOW
19269,UTTARAKHAND,CHAMOLI,2026-08-23,18.0,6.9,161,LE,13-08-2026 To 19-08-2026,18.0,6.9,161,LE,2026-06-01,908.2,572.0,59%,E,From 01-08-2026 To 23-08-2026,359.1,203.8,76%,LE,40,20,32.0,MODERATE,1,-0.0465227337516596,NORMAL,0.0,0,,16.0,LOW
19270,UTTARAKHAND,CHAMOLI,2026-08-24,3.8,3.2,20,E,13-08-2026 To 19-08-2026,123.8,67.3,84,LE,2026-06-01,912.1,575.2,59%,E,From 01-08-2026 To 24-08-2026,362.9,207.0,75%,LE,10,10,10.0,LOW,1,-0.0359651414271183,NORMAL,0.0,0,,5.0,LOW
19271,UTTARAKHAND,CHAMOLI,2026-08-25,5.4,6.2,-12,N,13-08-2026 To 19-08-2026,123.8,67.3,84,LE,2026-06-01,867.1,543.9,59%,LE,From 01-08-2026 To 25-08-2026,368.4,213.2,73%,LE,10,10,10.0,LOW,1,-0.085860464943933,NORMAL,0.0,0,,5.0,LOW
19272,UTTARAKHAND,CHAMOLI,2026-08-26,0.2,5.4,-97,LD,20-08-2026 To 26-08-2026,50.5,42.9,18,N,2026-06-01,917.7,586.8,56%,E,From 01-08-2026 To 26-08-2026,368.5,218.6,69%,LE,10,10,10.0,LOW,1,-0.0848772969280718,NORMAL,0.0,0,,5.0,LOW
19273,UTTARAKHAND,CHAMOLI,2026-08-27,1.7,5.6,-70,LD,20-08-2026 To 26-08-2026,1.7,5.6,-70,LD,2026-06-01,919.4,592.4,55%,E,From 01-08-2026 To 27-08-2026,370.2,224.2,65%,LE,10,10,10.0,LOW,1,-0.0540495429641411,NORMAL,0.0,0,,5.0,LOW
19274,UTTARAKHAND,CHAMOLI,2026-08-28,12.2,6.9,76,LE,28-08-2026,12.2,6.9,76,LE,2026-06-01,931.5,599.3,55%,E,From 01-08-2026 To 28-08-2026,382.4,231.1,65%,LE,20,20,20.0,LOW,1,-0.078605941233643,NORMAL,0.0,0,,10.0,LOW
19275,UTTARAKHAND,CHAMOLI,2026-08-29,6.5,5.2,25,E,20-08-2026 To 26-08-2026,50.5,42.9,18,N,2026-06-01,938.0,604.5,55%,E,From 01-08-2026 To 29-08-2026,388.9,236.3,65%,LE,10,10,10.0,LOW,1,-0.1231892985190378,NORMAL,0.0,0,,5.0,LOW
