Data Acquisition Time,_id,SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Telemetry Hourly Rainfall (mm),rainfall_mm_1h,rainfall_mm_6h,rainfall_mm_24h,antecedent_rainfall_mm_15d,predicted_rainfall_6h,rainfall_mm_6h_q75,rainfall_mm_6h_q90,rainfall_mm_6h_q95,rainfall_mm_24h_q75,rainfall_mm_24h_q90,rainfall_mm_24h_q95,antecedent_rainfall_mm_15d_q75,antecedent_rainfall_mm_15d_q90,antecedent_rainfall_mm_15d_q95,rainfall_score_1h,rainfall_score_6h,rainfall_score_24h,rainfall_score_15d,rainfall_score_forecast_6h,rainfall_risk_score,rainfall_risk_status,rainfall_risk_category,extreme_rainfall_flag,rainfall_alert_status
2026-06-21 15:00:00,2368,2368,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,3.0,3.0,,,,,27.75,45.95,47.0,,,,283.25,313.55,321.525,10.0,,,,,,PARTIAL,PARTIAL,False,NORMAL
2026-06-21 18:00:00,2369,2369,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,7.5,7.5,,,3.0,,27.75,45.95,47.0,,,,283.25,313.55,321.525,10.0,,,15.0,,,PARTIAL,PARTIAL,False,NORMAL
2026-06-21 19:00:00,2370,2370,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,2.0,2.0,,,10.5,,27.75,45.95,47.0,,,,283.25,313.55,321.525,10.0,,,15.0,,,PARTIAL,PARTIAL,False,NORMAL
2026-06-22 13:00:00,2371,2371,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,1.0,1.0,,,12.5,,27.75,45.95,47.0,,,,283.25,313.55,321.525,10.0,,,15.0,,,PARTIAL,PARTIAL,False,NORMAL
2026-06-22 14:00:00,2372,2372,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,0.5,0.5,,,13.5,,27.75,45.95,47.0,,,,283.25,313.55,321.525,10.0,,,15.0,,,PARTIAL,PARTIAL,False,NORMAL
2026-06-22 23:00:00,2373,2373,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,0.5,0.5,,,14.0,,27.75,45.95,47.0,,,,283.25,313.55,321.525,10.0,,,15.0,,,PARTIAL,PARTIAL,False,NORMAL
2026-06-23 13:00:00,2374,2374,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,0.5,0.5,,,14.5,,27.75,45.95,47.0,,,,283.25,313.55,321.525,10.0,,,15.0,,,PARTIAL,PARTIAL,False,NORMAL
2026-06-23 16:00:00,2375,2375,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,4.5,4.5,,,15.0,,27.75,45.95,47.0,,,,283.25,313.55,321.525,10.0,,,15.0,,,PARTIAL,PARTIAL,False,NORMAL
2026-06-24 18:00:00,2376,2376,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,6.0,6.0,,,19.5,,27.75,45.95,47.0,,,,283.25,313.55,321.525,10.0,,,15.0,,,PARTIAL,PARTIAL,False,NORMAL
2026-06-24 19:00:00,2377,2377,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,0.5,0.5,,,25.5,,27.75,45.95,47.0,,,,283.25,313.55,321.525,10.0,,,15.0,,,PARTIAL,PARTIAL,False,NORMAL
