_id,SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
2368,2368,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.04500000,79.28550000,21-06-2026 15:00,3
2369,2369,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.04500000,79.28550000,21-06-2026 18:00,7.5
2370,2370,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.04500000,79.28550000,21-06-2026 19:00,2
2371,2371,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.04500000,79.28550000,22-06-2026 13:00,1
2372,2372,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.04500000,79.28550000,22-06-2026 14:00,0.5
2373,2373,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.04500000,79.28550000,22-06-2026 23:00,0.5
2374,2374,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.04500000,79.28550000,23-06-2026 13:00,0.5
2375,2375,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.04500000,79.28550000,23-06-2026 16:00,4.5
2376,2376,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.04500000,79.28550000,24-06-2026 18:00,6
2377,2377,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.04500000,79.28550000,24-06-2026 19:00,0.5
2378,2378,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.04500000,79.28550000,24-06-2026 20:00,3
2379,2379,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.04500000,79.28550000,24-06-2026 21:00,0.5
2380,2380,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.04500000,79.28550000,26-06-2026 03:00,6
2381,2381,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.04500000,79.28550000,26-06-2026 16:00,2
2382,2382,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.04500000,79.28550000,28-06-2026 16:00,3
2383,2383,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.04500000,79.28550000,29-06-2026 03:00,1.5
2384,2384,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.04500000,79.28550000,01-07-2026 02:00,2
2385,2385,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.04500000,79.28550000,01-07-2026 03:00,4
2386,2386,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.04500000,79.28550000,01-07-2026 04:00,6
2387,2387,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.04500000,79.28550000,01-07-2026 05:00,0.5
2388,2388,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.04500000,79.28550000,01-07-2026 06:00,0.5
2389,2389,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.04500000,79.28550000,01-07-2026 07:00,1.5
2390,2390,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.04500000,79.28550000,01-07-2026 08:00,2
2391,2391,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.04500000,79.28550000,01-07-2026 09:00,0.5
2392,2392,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.04500000,79.28550000,01-07-2026 16:00,0.5
2393,2393,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.04500000,79.28550000,02-07-2026 01:00,2
2394,2394,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.04500000,79.28550000,02-07-2026 02:00,3.5
2395,2395,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.04500000,79.28550000,02-07-2026 03:00,23.5
2396,2396,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.04500000,79.28550000,02-07-2026 04:00,3
2397,2397,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.04500000,79.28550000,02-07-2026 07:00,9.5
2398,2398,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.04500000,79.28550000,02-07-2026 08:00,0.5
2399,2399,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.04500000,79.28550000,03-07-2026 23:00,0.5
2400,2400,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.04500000,79.28550000,04-07-2026 00:00,20
2401,2401,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.04500000,79.28550000,04-07-2026 01:00,7
2402,2402,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.04500000,79.28550000,04-07-2026 02:00,0.5
2403,2403,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.04500000,79.28550000,05-07-2026 04:00,0.5
2404,2404,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.04500000,79.28550000,05-07-2026 05:00,2
2405,2405,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.04500000,79.28550000,05-07-2026 06:00,1
2406,2406,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.04500000,79.28550000,06-07-2026 03:00,4
2407,2407,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.04500000,79.28550000,06-07-2026 04:00,1
2408,2408,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.04500000,79.28550000,07-07-2026 11:00,0.5
2409,2409,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.04500000,79.28550000,07-07-2026 12:00,0.5
2410,2410,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.04500000,79.28550000,07-07-2026 13:00,0.5
2411,2411,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.04500000,79.28550000,07-07-2026 15:00,0.5
2412,2412,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.04500000,79.28550000,08-07-2026 04:00,2.5
2413,2413,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.04500000,79.28550000,08-07-2026 05:00,2.5
2414,2414,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.04500000,79.28550000,08-07-2026 08:00,0.5
2415,2415,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.04500000,79.28550000,08-07-2026 09:00,1
2416,2416,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.04500000,79.28550000,08-07-2026 11:00,2
2417,2417,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.04500000,79.28550000,08-07-2026 12:00,8
2418,2418,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.04500000,79.28550000,08-07-2026 13:00,6.5
2419,2419,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.04500000,79.28550000,08-07-2026 14:00,3
2420,2420,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.04500000,79.28550000,08-07-2026 15:00,1.5
2421,2421,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.04500000,79.28550000,09-07-2026 00:00,2
2422,2422,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.04500000,79.28550000,09-07-2026 01:00,6
