_id,State,District,Date,Daily Actual,Daily Normal,Daily Departure Per,Daily Category,Week Date,"Weekly 
Actual",Weekly Normal,Weekly Departure Per,Weekly Category,Cumulative Date,Cumulative Actual,Cumulative Normal,Cumulative Departue Per,"Cumulative 
Category",Monthly Date,Monthly Acutual,Monthly Normal,"Monthly 
Departure Per",Monthly Category
14913,UTTARAKHAND,CHAMOLI,2026-08-19,6.3,9.9,-36%,D,13-08-2026 To 19-08-2026,6.3,9.9,-36%,D,2026-06-01,867.1,543.9,59%,LE,From 01-08-2026 To 19-08-2026,318,175.7,81%,LE
14914,UTTARAKHAND,CHAMOLI,2026-08-20,9.6,7.7,25%,E,13-08-2026 To 19-08-2026,123.8,67.3,84%,LE,2026-06-01,876.8,551.6,59%,E,From 01-08-2026 To 20-08-2026,327.6,183.4,79%,LE
14915,UTTARAKHAND,CHAMOLI,2026-08-21,11,5.6,97%,LE,13-08-2026 To 19-08-2026,123.8,67.3,84%,LE,2026-06-01,867.1,543.9,59%,LE,From 01-08-2026 To 21-08-2026,338.6,189,79%,LE
14916,UTTARAKHAND,CHAMOLI,2026-08-22,2.4,7.9,-69%,LD,13-08-2026 To 19-08-2026,123.8,67.3,84%,LE,2026-06-01,890.2,565.1,58%,E,From 01-08-2026 To 22-08-2026,341.1,196.9,73%,LE
14917,UTTARAKHAND,CHAMOLI,2026-08-23,18,6.9,161%,LE,13-08-2026 To 19-08-2026,18,6.9,161%,LE,2026-06-01,908.2,572,59%,E,From 01-08-2026 To 23-08-2026,359.1,203.8,76%,LE
14918,UTTARAKHAND,CHAMOLI,2026-08-24,3.8,3.2,20%,E,13-08-2026 To 19-08-2026,123.8,67.3,84%,LE,2026-06-01,912.1,575.2,59%,E,From 01-08-2026 To 24-08-2026,362.9,207,75%,LE
14919,UTTARAKHAND,CHAMOLI,2026-08-25,5.4,6.2,-12%,N,13-08-2026 To 19-08-2026,123.8,67.3,84%,LE,2026-06-01,867.1,543.9,59%,LE,From 01-08-2026 To 25-08-2026,368.4,213.2,73%,LE
14920,UTTARAKHAND,CHAMOLI,2026-08-26,0.2,5.4,-97%,LD,20-08-2026 To 26-08-2026,50.5,42.9,18%,N,2026-06-01,917.7,586.8,56%,E,From 01-08-2026 To 26-08-2026,368.5,218.6,69%,LE
14921,UTTARAKHAND,CHAMOLI,2026-08-27,1.7,5.6,-70%,LD,20-08-2026 To 26-08-2026,1.7,5.6,-70%,LD,2026-06-01,919.4,592.4,55%,E,From 01-08-2026 To 27-08-2026,370.2,224.2,65%,LE
14922,UTTARAKHAND,CHAMOLI,2026-08-28,12.2,6.9,76%,LE,28-08-2026,12.2,6.9,76%,LE,2026-06-01,931.5,599.3,55%,E,From 01-08-2026 To 28-08-2026,382.4,231.1,65%,LE
14923,UTTARAKHAND,CHAMOLI,2026-08-29,6.5,5.2,25%,E,20-08-2026 To 26-08-2026,50.5,42.9,18%,N,2026-06-01,938,604.5,55%,E,From 01-08-2026 To 29-08-2026,388.9,236.3,65%,LE
14924,UTTARAKHAND,CHAMOLI,2026-08-30,20.3,5.6,263%,LE,20-08-2026 To 26-08-2026,50.5,42.9,18%,N,2026-06-01,958.4,610.1,57%,E,From 01-08-2026 To 30-08-2026,409.2,241.9,69%,LE
14925,UTTARAKHAND,CHAMOLI,2026-08-31,17.4,6.3,176%,LE,20-08-2026 To 26-08-2026,50.5,42.9,18%,N,2026-06-01,975.8,616.4,58%,E,From 01-08-2026 To 31-08-2026,426.6,248.2,72%,LE
14926,UTTARAKHAND,CHAMOLI,2026-09-01,14.7,5.6,163%,LE,20-08-2026 To 26-08-2026,50.5,42.9,18%,N,2026-06-01,917.7,586.8,56%,E,From 01-09-2026 To 01-09-2026,14.7,5.6,163%,LE
14927,UTTARAKHAND,CHAMOLI,2026-09-02,11.3,5.6,103%,LE,27-08-2026 To 02-09-2026,84.1,40.8,106%,LE,2026-06-01,1001.8,627.6,60%,LE,From 01-09-2026 To 02-09-2026,26.1,11.2,133%,LE
14928,UTTARAKHAND,CHAMOLI,2026-09-03,10.2,6.1,67%,LE,27-08-2026 To 02-09-2026,84.1,40.8,106%,LE,2026-06-01,1001.8,627.6,60%,LE,From 01-09-2026 To 03-09-2026,36.2,17.3,109%,LE
