_id,SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly River Water Discharge (m3/sec),discharge_change_m3s,time_difference_hours,discharge_rate_m3s_per_hour
40014,40014,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 00:00:00,7.19,,,
40015,40015,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 00:15:00,6.9,-0.29000000000000004,0.25,-1.1600000000000001
40016,40016,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 00:30:00,6.66,-0.2400000000000002,0.25,-0.9600000000000009
40017,40017,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 00:45:00,6.7,0.040000000000000036,0.25,0.16000000000000014
40018,40018,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 01:00:00,6.74,0.040000000000000036,0.25,0.16000000000000014
40019,40019,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 01:15:00,6.85,0.10999999999999943,0.25,0.4399999999999977
40020,40020,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 01:30:00,6.45,-0.39999999999999947,0.25,-1.5999999999999979
40021,40021,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 01:45:00,6.4,-0.04999999999999982,0.25,-0.1999999999999993
40022,40022,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 02:00:00,6.52,0.11999999999999922,0.25,0.4799999999999969
40023,40023,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 02:15:00,6.47,-0.04999999999999982,0.25,-0.1999999999999993
40024,40024,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 02:30:00,6.86,0.39000000000000057,0.25,1.5600000000000023
40025,40025,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 02:45:00,6.87,0.009999999999999787,0.25,0.03999999999999915
40026,40026,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 03:00:00,7.02,0.14999999999999947,0.25,0.5999999999999979
40027,40027,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 03:15:00,6.81,-0.20999999999999996,0.25,-0.8399999999999999
40028,40028,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 03:30:00,6.62,-0.1899999999999995,0.25,-0.759999999999998
40029,40029,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 03:45:00,6.9,0.28000000000000025,0.25,1.120000000000001
40030,40030,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 04:00:00,6.67,-0.23000000000000043,0.25,-0.9200000000000017
40031,40031,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 04:15:00,6.96,0.29000000000000004,0.25,1.1600000000000001
40032,40032,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 04:30:00,6.48,-0.47999999999999954,0.25,-1.9199999999999982
40033,40033,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 04:45:00,6.68,0.1999999999999993,0.25,0.7999999999999972
40034,40034,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 05:00:00,6.7,0.020000000000000462,0.25,0.08000000000000185
40035,40035,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 05:15:00,6.9,0.20000000000000018,0.25,0.8000000000000007
40036,40036,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 05:30:00,6.76,-0.14000000000000057,0.25,-0.5600000000000023
40037,40037,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 05:45:00,6.53,-0.22999999999999954,0.25,-0.9199999999999982
40038,40038,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 06:15:00,6.44,-0.08999999999999986,0.5,-0.17999999999999972
40039,40039,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 06:30:00,6.77,0.3299999999999992,0.25,1.3199999999999967
40040,40040,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 06:45:00,6.46,-0.3099999999999996,0.25,-1.2399999999999984
40041,40041,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 07:00:00,6.88,0.41999999999999993,0.25,1.6799999999999997
40042,40042,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 07:15:00,6.82,-0.05999999999999961,0.25,-0.23999999999999844
40043,40043,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 07:30:00,6.97,0.14999999999999947,0.25,0.5999999999999979
40044,40044,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 07:45:00,6.65,-0.3199999999999994,0.25,-1.2799999999999976
40045,40045,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 08:00:00,6.5,-0.15000000000000036,0.25,-0.6000000000000014
40046,40046,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 08:15:00,6.8,0.2999999999999998,0.25,1.1999999999999993
40047,40047,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 08:30:00,6.51,-0.29000000000000004,0.25,-1.1600000000000001
40048,40048,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 08:45:00,6.61,0.10000000000000053,0.25,0.40000000000000213
40049,40049,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 09:00:00,6.74,0.1299999999999999,0.25,0.5199999999999996
40050,40050,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 09:15:00,6.7,-0.040000000000000036,0.25,-0.16000000000000014
40051,40051,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 09:30:00,6.76,0.05999999999999961,0.25,0.23999999999999844
40052,40052,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 09:45:00,6.71,-0.04999999999999982,0.25,-0.1999999999999993
40053,40053,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 10:00:00,6.47,-0.2400000000000002,0.25,-0.9600000000000009
