Station,date,observations,max_discharge,mean_discharge,max_risk_score,mean_risk_score,high_or_critical_observations,daily_risk_category
Lambagarh,2026-01-01,94,7.19,6.701489361702128,40.0,31.51063829787234,0,MODERATE
Lambagarh,2026-01-02,94,7.05,6.63404255319149,40.0,31.893617021276597,0,MODERATE
Lambagarh,2026-01-03,91,7.22,6.606593406593407,52.0,31.692307692307693,0,MODERATE
Lambagarh,2026-01-04,83,7.19,6.474698795180722,40.0,30.313253012048193,0,MODERATE
Lambagarh,2026-01-05,90,7.04,6.596666666666668,40.0,30.666666666666668,0,MODERATE
Lambagarh,2026-01-06,95,7.14,6.574,52.0,31.157894736842106,0,MODERATE
Lambagarh,2026-01-07,93,6.8,6.338924731182796,40.0,27.806451612903224,0,MODERATE
Lambagarh,2026-01-08,93,6.82,6.354946236559139,40.0,29.096774193548388,0,MODERATE
Lambagarh,2026-01-09,93,6.82,6.378279569892473,40.0,29.032258064516128,0,MODERATE
Lambagarh,2026-01-10,87,6.86,6.391264367816092,52.0,30.482758620689655,0,MODERATE
Lambagarh,2026-01-11,92,6.79,6.44554347826087,40.0,30.347826086956523,0,MODERATE
Lambagarh,2026-01-12,94,6.81,6.473404255319149,40.0,29.851063829787233,0,MODERATE
Lambagarh,2026-01-13,95,8.33,6.467052631578947,52.0,28.126315789473683,0,MODERATE
Lambagarh,2026-01-14,91,6.68,6.260659340659341,40.0,24.835164835164836,0,MODERATE
Lambagarh,2026-01-15,91,6.74,6.288791208791208,40.0,26.54945054945055,0,MODERATE
Lambagarh,2026-01-16,88,6.66,6.293295454545454,40.0,25.204545454545453,0,MODERATE
Lambagarh,2026-01-17,95,8.89,6.874736842105263,52.0,24.46315789473684,0,MODERATE
Lambagarh,2026-01-18,87,6.67,6.161149425287356,40.0,24.896551724137932,0,MODERATE
Lambagarh,2026-01-19,85,6.52,6.189058823529412,40.0,23.694117647058825,0,MODERATE
